peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13397689+-0.17520505+-0.5993668,0.12462255+-0.13587205+-0.5706193,0.18912314+0.0026189478+0.09474438,0.5996652,179,1712.316580458
0.1339771+-0.17518736+-0.5993503,0.124018386+-0.13587873+-0.5707605,0.18913874+0.0026198905+0.09473093,0.5996759,180,1712.349923041
0.1339546+-0.17518108+-0.59933597,0.12370911+-0.1358976+-0.5708923,0.1891443+0.0026193904+0.09472259,0.5997417,181,1712.383264791
0.13391224+-0.17515929+-0.59933084,0.123084866+-0.13597487+-0.5712482,0.18910606+0.00261667+0.09475221,0.5999696,182,1712.416609833
0.13390929+-0.17511073+-0.5993563,0.12243315+-0.13607745+-0.5716573,0.18909395+0.0026188819+0.094753236,0.6002491,183,1712.449952166
0.13388203+-0.17510097+-0.5993615,0.123557575+-0.13537493+-0.57176423,0.18909304+0.0026206458+0.0947412,0.6004225,184,1712.483295166
0.13392366+-0.17521155+-0.59935904,0.12643106+-0.13390347+-0.5715446,0.18907653+0.0026253469+0.09477214,0.60048157,185,1712.516640458
0.13396525+-0.17517029+-0.5994038,0.12778437+-0.13311358+-0.5715898,0.18906873+0.0026369623+0.09477138,0.6006355,186,1712.549983041
0.13399173+-0.17514543+-0.59941185,0.12795144+-0.1329433+-0.5717069,0.18906642+0.0026508633+0.094773,0.6007448,187,1712.583325166
0.1340253+-0.17517288+-0.599402,0.12788458+-0.13278197+-0.572017,0.18905467+0.0026355172+0.094780646,0.60099,188,1712.616668916
0.13401936+-0.17519842+-0.59938776,0.12902965+-0.13026728+-0.5722011,0.1890596+0.00264356+0.09478125,0.6008596,189,1712.650013
0.13401583+-0.17520615+-0.59937954,0.12958525+-0.1290871+-0.57229817,0.18906401+0.0026613278+0.094781496,0.6008169,190,1712.683356166
0.13403824+-0.17519921+-0.59938955,0.13030201+-0.12753507+-0.57254124,0.18905549+0.0026545525+0.09477125,0.6008721,191,1712.7167
0.13400656+-0.17521079+-0.5993751,0.13062966+-0.1267432+-0.57282954,0.18904664+0.0026759764+0.09477296,0.60105044,192,1712.750044875
0.13400656+-0.17521079+-0.5993751,0.13116913+-0.12688099+-0.5724993,0.18903777+0.0027000308+0.094772816,0.6008823,193,1712.783395875
0.13408284+-0.17523+-0.5993559,0.13203034+-0.1277341+-0.57154375,0.1890332+0.0027266303+0.09477021,0.60034186,194,1712.8167305
0.13412476+-0.17523809+-0.5993472,0.13267586+-0.12794803+-0.57112,0.18902753+0.0027545877+0.094768785,0.6001264,195,1712.850073083
0.1341632+-0.17526668+-0.59933245,0.13292238+-0.12783185+-0.5710912,0.1890254+0.0027816417+0.09476689,0.6001287,196,1712.88342525
0.13420936+-0.17524545+-0.599326,0.13322137+-0.128352+-0.57096756,0.18903044+0.0027041845+0.094760634,0.60018843,197,1712.916759875
0.13413472+-0.17520866+-0.5993203,0.13263553+-0.13514438+-0.5694353,0.18903618+0.0026788923+0.094755806,0.60009396,198,1712.950103
0.13414338+-0.17520605+-0.5993032,0.13232853+-0.13873374+-0.5686188,0.18904404+0.002677434+0.09475596,0.600071,199,1712.983446458
0.1341623+-0.17521183+-0.59928495,0.13212404+-0.14311048+-0.5676139,0.18905286+0.002603514+0.09478332,0.6001024,200,1713.01678825
0.13408321+-0.17518425+-0.5993069,0.13228478+-0.14489304+-0.56719613,0.18906754+0.0025859224+0.09479439,0.60017055,201,1713.050132791
0.13409337+-0.17518336+-0.59930325,0.13182834+-0.14333922+-0.5679043,0.1890877+0.0025781747+0.094810344,0.60036665,202,1713.08348575
0.13410622+-0.1752043+-0.59931624,0.13064644+-0.13923977+-0.5695429,0.18910703+0.0025752392+0.0948233,0.6006957,203,1713.11681975
0.13409023+-0.17521866+-0.5993286,0.13001183+-0.13746922+-0.5703454,0.18912296+0.0025741328+0.094831996,0.6009116,204,1713.150163458
0.13406068+-0.17522171+-0.5993382,0.12988496+-0.13736148+-0.57046825,0.18913682+0.0025721332+0.09484357,0.6009761,205,1713.18351875
0.13403802+-0.17521088+-0.5994146,0.12978221+-0.13776909+-0.5704929,0.18912776+0.0025757616+0.09481273,0.6010707,206,1713.216848833
0.13399374+-0.1752+-0.59940344,0.12970732+-0.1382763+-0.57048225,0.18912306+0.0025765235+0.094800204,0.6011608,207,1713.250193208
0.1339729+-0.17519113+-0.5993977,0.12966551+-0.13846895+-0.5704959,0.18912324+0.002575563+0.09479271,0.6012091,208,1713.283536208
0.1339729+-0.17519113+-0.5993977,0.12957771+-0.13875519+-0.57055306,0.18912756+0.0025750806+0.09478477,0.6013104,209,1713.316881375
0.13401014+-0.1751849+-0.59937334,0.12947975+-0.1389995+-0.5706253,0.18912336+0.0025788713+0.09477768,0.60141426,210,1713.350222916
0.13403174+-0.17515676+-0.5993664,0.1314142+-0.13629286+-0.5741373,0.18912484+0.0025867755+0.09477787,0.60454863,211,1713.383575833
0.13402791+-0.175134+-0.5993492,0.13527891+-0.13074677+-0.58086735,0.18913154+0.0026012016+0.09478206,0.61057514,212,1713.416909583
0.13403742+-0.17514664+-0.59933835,0.1373888+-0.12772511+-0.5845715,0.18913819+0.002624834+0.094783835,0.61393255,213,1713.450252416
0.13406916+-0.17515197+-0.59932584,0.1378667+-0.1270529+-0.5854357,0.18913972+0.0026546363+0.094778806,0.6147232,214,1713.483604041
0.13409342+-0.17517418+-0.59929407,0.13849385+-0.1270496+-0.5859711,0.18913253+0.0026566822+0.094755925,0.61537325,215,1713.51694
0.13409087+-0.17520337+-0.59924847,0.1399392+-0.13174996+-0.5835474,0.18912193+0.0026756655+0.094739065,0.6143848,216,1713.550283375
0.13408637+-0.17517923+-0.599225,0.14072327+-0.13415271+-0.5823542,0.18911391+0.0026981272+0.0947245,0.61395144,217,1713.583625791
0.13408697+-0.17521241+-0.5992178,0.1419484+-0.13676363+-0.5814118,0.18911485+0.0026819191+0.09471545,0.61391634,218,1713.616969541
0.1340857+-0.17520478+-0.5992011,0.14283618+-0.1374027+-0.58173835,0.18911782+0.0026919672+0.094697036,0.614574,219,1713.650313166
0.13407959+-0.1751961+-0.5991804,0.1429176+-0.1379349+-0.58058137,0.18912247+0.002706769+0.09467822,0.6136173,220,1713.683665
0.13411132+-0.17521586+-0.5991959,0.1422837+-0.13894749+-0.5776256,0.18910372+0.0026758201+0.094703026,0.6109029,221,1713.71699975
0.1340709+-0.17522663+-0.5992105,0.14229538+-0.13980563+-0.57615113,0.18908072+0.0026787696+0.09469938,0.6097079,222,1713.750343375
0.13406184+-0.17519557+-0.5992086,0.14252374+-0.1401637+-0.57592124,0.18904774+0.0027061598+0.09468528,0.60962623,223,1713.783695583
0.13411601+-0.17517549+-0.5992013,0.14316212+-0.14081773+-0.5758653,0.18904711+0.0026720725+0.09467853,0.6098737,224,1713.81703175
0.13405633+-0.17516407+-0.59920394,0.14286207+-0.14146858+-0.5725387,0.18902412+0.0026693223+0.0946656,0.6068142,225,1713.850373833
0.13405149+-0.17511791+-0.59920067,0.14274327+-0.1417931+-0.5710028,0.18899558+0.0026764516+0.09465926,0.60541314,226,1713.883716083
0.13405149+-0.17511791+-0.59920067,0.14282902+-0.14244543+-0.5691005,0.18901743+0.0026574542+0.09466492,0.60379314,227,1713.917060166
0.13412613+-0.17510828+-0.5991629,0.14321457+-0.14311852+-0.56827074,0.18900855+0.0026573257+0.09466453,0.60326195,228,1713.950403541
0.13412613+-0.17510828+-0.5991629,0.14233279+-0.14363678+-0.56930166,0.18898638+0.0026691153+0.094655745,0.60414773,229,1713.983746083
0.1341703+-0.17510068+-0.5990879,0.14007412+-0.14393175+-0.5718419,0.18906993+0.0026149862+0.09468899,0.606086,230,1714.017090125
0.1341703+-0.17510068+-0.5990879,0.13888572+-0.14435151+-0.5729689,0.18909918+0.0025952654+0.09468296,0.6069761,231,1714.050441416
0.1341159+-0.17521088+-0.599095,0.1386629+-0.14461859+-0.5730647,0.18911357+0.002584393+0.09467285,0.60707915,232,1714.083785416
0.13411933+-0.17522834+-0.59907186,0.13850352+-0.14521137+-0.57289183,0.18911597+0.002565693+0.094663434,0.6070211,233,1714.11712
0.13415906+-0.175279+-0.59903085,0.138391+-0.1458171+-0.57266253,0.18912493+0.0025504194+0.09466017,0.60692424,234,1714.150463833
0.13415906+-0.175279+-0.59903085,0.13832301+-0.14611615+-0.5725763,0.18913537+0.0025388375+0.09466323,0.6068993,235,1714.183817083
0.13417289+-0.17528649+-0.59902984,0.13816206+-0.14671756+-0.5724474,0.1891466+0.0025304686+0.094668895,0.6068862,236,1714.2171495
0.13414253+-0.17526674+-0.5990471,0.1379855+-0.14731774+-0.57234275,0.18916641+0.002530085+0.09468002,0.6068927,237,1714.250492958
0.13415742+-0.17530078+-0.5990537,0.13756126+-0.14669487+-0.5727117,0.18918581+0.0025350002+0.09469368,0.60699356,238,1714.28383675
0.13421369+-0.17533876+-0.5990584,0.13690132+-0.14488694+-0.57353157,0.18921113+0.0025317452+0.094710685,0.6071842,239,1714.317180708
0.13419586+-0.17534764+-0.5990858,0.13645126+-0.14411423+-0.57394534,0.18923491+0.0025267608+0.094736345,0.60728997,240,1714.350523166
0.1342097+-0.17538425+-0.5991144,0.13628885+-0.14408132+-0.5740175,0.18925811+0.0025211489+0.094769634,0.60731393,241,1714.383869625
0.134174+-0.17542006+-0.59916097,0.13600491+-0.1441382+-0.5742859,0.1892895+0.0024969522+0.09473829,0.6075175,242,1714.417209541
0.13414423+-0.17536895+-0.59914434,0.13561493+-0.14319237+-0.5760615,0.18931288+0.0024915307+0.09476976,0.6088861,243,1714.450552583
0.13413818+-0.17539011+-0.5991838,0.1354107+-0.14267415+-0.5769778,0.18934475+0.0024872727+0.09481741,0.60958624,244,1714.483905583
0.13412648+-0.17542647+-0.5992435,0.13504921+-0.1420881+-0.57809204,0.1893125+0.0024951864+0.09477025,0.6104242,245,1714.517248958
0.13410702+-0.17544517+-0.599206,0.1347299+-0.14193834+-0.5785509,0.1893031+0.002501836+0.094783135,0.6107534,246,1714.550583208
0.13412169+-0.17548409+-0.5992373,0.13345802+-0.14009875+-0.57945627,0.18929586+0.002507503+0.09481684,0.61090773,247,1714.583932791
0.13413785+-0.17548516+-0.5992327,0.13123845+-0.13645302+-0.5809885,0.18916024+0.0025582537+0.09471497,0.611057,248,1714.617269875
0.13410875+-0.17535856+-0.5991542,0.12976432+-0.134231+-0.58208376,0.18911053+0.0025665667+0.094692595,0.6112923,249,1714.650613958
0.13410123+-0.17529587+-0.59914756,0.12928674+-0.13360967+-0.58247685,0.18907669+0.002559783+0.09470117,0.6114294,250,1714.683956583
0.13406262+-0.17522524+-0.59914595,0.12841402+-0.13208406+-0.58328855,0.18909141+0.0025875426+0.09470632,0.6116878,251,1714.717321041
0.13415149+-0.17520738+-0.5991405,0.12671366+-0.1261676+-0.58508587,0.18909124+0.0025884348+0.09472091,0.6118007,252,1714.75064375
0.13415624+-0.17518516+-0.5991591,0.12582336+-0.123055264+-0.58602583,0.18908729+0.0025769544+0.09474483,0.6118826,253,1714.783995625
0.13413915+-0.17516583+-0.5991868,0.1244111+-0.11878146+-0.5874754,0.18908697+0.0025662659+0.09476448,0.61213934,254,1714.817329083
0.1341488+-0.17513135+-0.59920764,0.123354495+-0.116339006+-0.58851606,0.18909673+0.0025565838+0.09477842,0.6124559,255,1714.85067375
0.13413799+-0.17512642+-0.5992171,0.12268567+-0.11491285+-0.58719283,0.18911436+0.002543671+0.094787374,0.61078,256,1714.884016541
0.13412786+-0.17514756+-0.5992226,0.122345805+-0.114025354+-0.58369005,0.18913679+0.0025497526+0.09474601,0.6071774,257,1714.917358833
0.13409775+-0.17518154+-0.59918064,0.121728055+-0.11255682+-0.58216345,0.18914415+0.0025425374+0.094729014,0.6053107,258,1714.950703291
0.13408138+-0.175153+-0.59916985,0.1213161+-0.11162518+-0.58206004,0.1891411+0.002534477+0.094721556,0.6049559,259,1714.984045958
0.13408816+-0.17513376+-0.599174,0.12040774+-0.109610915+-0.58237153,0.18914148+0.0025400945+0.09469037,0.60470587,260,1715.01739025
0.13408998+-0.17517772+-0.5991354,0.1194874+-0.10755725+-0.58276916,0.18914735+0.002535414+0.09467528,0.6045376,261,1715.050737291
0.13408805+-0.17517911+-0.5991283,0.11903825+-0.10653858+-0.58292425,0.18915366+0.0025236688+0.094665505,0.6044181,262,1715.084076333
0.13408656+-0.17519999+-0.5991198,0.118150815+-0.10452249+-0.58316445,0.18913755+0.0025390517+0.09463052,0.6041236,263,1715.117419125
0.13407665+-0.17520803+-0.5990922,0.11725068+-0.10252795+-0.58336943,0.1891452+0.0025360426+0.09461782,0.60380423,264,1715.150763875
0.13405266+-0.17521438+-0.59909594,0.11774521+-0.10408347+-0.5805005,0.18915536+0.0025287773+0.094603755,0.6013968,265,1715.184107375
0.13403553+-0.17521887+-0.5990952,0.1196402+-0.10912968+-0.5747253,0.18913929+0.002545083+0.094577,0.5971032,266,1715.217450333
0.13406362+-0.17519073+-0.5990803,0.12034627+-0.11111518+-0.5716392,0.18913007+0.002544839+0.09455374,0.5946437,267,1715.250792958
0.13407709+-0.17516635+-0.5990679,0.12029127+-0.11106628+-0.57098216,0.18912224+0.0025417255+0.094517395,0.5939919,268,1715.284145916
0.13407214+-0.17513162+-0.599051,0.11986082+-0.110240676+-0.5704618,0.18911508+0.0025307909+0.09448236,0.59325063,269,1715.317479291
0.13406582+-0.17512244+-0.5990312,0.1194439+-0.109971195+-0.5707055,0.18911107+0.0025190776+0.094440155,0.5933509,270,1715.350823125
0.13403933+-0.17509538+-0.59901744,0.119264804+-0.10992773+-0.5707714,0.18910551+0.0025108336+0.094392315,0.5933702,271,1715.384178291
0.13399442+-0.17511174+-0.59897435,0.118913725+-0.109639205+-0.5704876,0.18908015+0.0025024116+0.094319224,0.5929733,272,1715.4175095
0.13395958+-0.1751318+-0.598904,0.11854781+-0.1091143+-0.5698688,0.1890717+0.0025129626+0.09427015,0.59220773,273,1715.450853875
0.13397844+-0.17512986+-0.5988627,0.12003945+-0.109422475+-0.5714623,0.18907183+0.00253182+0.094225176,0.59409755,274,1715.484197583
0.13398196+-0.1751396+-0.59874845,0.123355895+-0.11063867+-0.5752638,0.1890748+0.0025240993+0.09416509,0.5986535,275,1715.517539333
0.1340155+-0.17516516+-0.5986744,0.12512483+-0.11110235+-0.5770637,0.1890845+0.0025339657+0.094125025,0.6008348,276,1715.55088375
0.13405685+-0.17518039+-0.5986363,0.1254827+-0.11107778+-0.5772962,0.18909447+0.0025409702+0.09408186,0.60112816,277,1715.584235708
0.134058+-0.17520279+-0.5985645,0.12569572+-0.11108959+-0.57757056,0.18910387+0.0025382265+0.09431241,0.60143834,278,1715.61757075
0.13407692+-0.17522463+-0.5987895,0.12536155+-0.11291989+-0.57991993,0.18911548+0.0025490643+0.094382934,0.60396487,279,1715.650918791
0.13411275+-0.17523614+-0.5988591,0.1252131+-0.11389423+-0.5811676,0.18912733+0.0025615972+0.09441107,0.6053148,280,1715.684264125
0.13409387+-0.17526759+-0.5988735,0.12518032+-0.11502904+-0.5826983,0.1890859+0.00254226+0.09446683,0.6069919,281,1715.717599166
0.13407968+-0.17526193+-0.59891117,0.12537515+-0.11540382+-0.58333135,0.18907286+0.0025381474+0.094471306,0.6077108,282,1715.750943166
0.13410029+-0.17528498+-0.5988917,0.12553103+-0.117622845+-0.58417624,0.18905939+0.0025439057+0.094466515,0.6089787,283,1715.784289833
0.1340991+-0.17526717+-0.59888065,0.12556744+-0.12188585+-0.58545536,0.18902674+0.0025258006+0.09448338,0.61104935,284,1715.817629083
0.13411589+-0.17522344+-0.5988902,0.12566116+-0.1245284+-0.5863975,0.18900058+0.0025290854+0.094483644,0.6125032,285,1715.850973375
0.13411847+-0.17519704+-0.5988914,0.12572941+-0.12529449+-0.5867569,0.1889756+0.0025371239+0.094473,0.6130173,286,1715.884319333
0.1341111+-0.17516014+-0.598898,0.12588035+-0.12637983+-0.58738923,0.18895678+0.002544201+0.09446316,0.6138761,287,1715.917662541
0.13411738+-0.17513718+-0.5988886,0.12604308+-0.12739167+-0.58800495,0.1889391+0.0025505954+0.0944519,0.6147075,288,1715.951003625
0.13411681+-0.17513743+-0.5988689,0.12611948+-0.12793249+-0.58832127,0.18892018+0.0025559505+0.0944527,0.615138,289,1715.984355083
0.134137+-0.17509969+-0.5988666,0.1262511+-0.12906252+-0.588972,0.18890555+0.0025401171+0.0944658,0.61602306,290,1716.017689541
0.13416891+-0.1751293+-0.5988522,0.12639016+-0.1302364+-0.5896244,0.18889816+0.0025364636+0.09448673,0.61692214,291,1716.051033791
0.13416205+-0.17512946+-0.5988742,0.1285288+-0.13324383+-0.58964914,0.18888193+0.0025392864+0.09451101,0.6180289,292,1716.084378875
0.13419251+-0.1751059+-0.5988951,0.13257664+-0.1379229+-0.5890441,0.18883294+0.002536007+0.094518736,0.6193321,293,1716.117718208
0.13418134+-0.17508915+-0.59889656,0.13493186+-0.1410668+-0.5889797,0.1888112+0.0025378512+0.094529465,0.62048656,294,1716.151070916
0.13417979+-0.17508589+-0.5989006,0.13553646+-0.14214224+-0.5891375,0.18879987+0.0025450112+0.094538726,0.6210133,295,1716.18441575
0.13416171+-0.17507595+-0.59891605,0.1360736+-0.14391848+-0.5893256,0.18884976+0.0025620414+0.09457565,0.621718,296,1716.217749291
0.13416171+-0.17507595+-0.59891605,0.13511784+-0.14567004+-0.5877045,0.18887076+0.00257394+0.094586544,0.6203815,297,1716.251097208
0.13420616+-0.1751763+-0.598947,0.13465013+-0.14658447+-0.58686507,0.1888802+0.002589179+0.094599366,0.61970013,298,1716.284438375
0.1342515+-0.17518452+-0.59895074,0.13444714+-0.14846936+-0.586056,0.1888555+0.0026225762+0.094651744,0.619339,299,1716.317779166
0.13425942+-0.17524694+-0.5989803,0.1348973+-0.15038052+-0.58603346,0.18885437+0.0026321185+0.0946773,0.61987644,300,1716.351130458
0.13424653+-0.17526123+-0.5989995,0.13481721+-0.15075497+-0.5858225,0.18886024+0.0026346592+0.0946927,0.61975056,301,1716.384475291
0.1342553+-0.17529225+-0.5989995,0.13401538+-0.14954598+-0.5852098,0.18886936+0.0026333777+0.094678044,0.61870396,302,1716.417809708
0.13424793+-0.17531689+-0.598981,0.13377272+-0.14965986+-0.58490634,0.18886821+0.0026420914+0.09468159,0.61839193,303,1716.451154166
0.13426153+-0.17533089+-0.5989752,0.13384761+-0.15017435+-0.5848653,0.18886374+0.0026526246+0.09468406,0.6184941,304,1716.484505375
0.1342743+-0.17529324+-0.5990199,0.13379781+-0.15145262+-0.5844917,0.188827+0.0027001202+0.09468261,0.6184419,305,1716.517839791
0.1342904+-0.17528152+-0.5990299,0.1313868+-0.15198582+-0.58164036,0.1888093+0.0027184756+0.09466153,0.61535984,306,1716.551184125
0.1342774+-0.17526275+-0.5990239,0.13011332+-0.15220878+-0.5801791,0.18879932+0.0027275495+0.09463644,0.6137628,307,1716.584526375
0.13427289+-0.1751926+-0.5990343,0.12863944+-0.15299676+-0.5784454,0.18876952+0.002774939+0.09464418,0.6120091,308,1716.617878083
0.13434143+-0.17515647+-0.59903914,0.12814997+-0.15411516+-0.577788,0.18875313+0.0027951924+0.09463208,0.6115659,309,1716.65121425
0.13434905+-0.1751554+-0.599028,0.12785085+-0.1543187+-0.5778377,0.18874662+0.0028080698+0.09461217,0.6116016,310,1716.684569875
0.13432299+-0.17510791+-0.5990149,0.12745336+-0.1534918+-0.5782687,0.18878958+0.0028037215+0.0946395,0.6117179,311,1716.7179085
0.13433711+-0.17517622+-0.59902817,0.12704688+-0.1534902+-0.5782642,0.18881078+0.0027909353+0.09462959,0.6116286,312,1716.751250833
0.1343462+-0.17521274+-0.59900695,0.12685074+-0.15378073+-0.57812274,0.1888264+0.0027807578+0.09460404,0.61152714,313,1716.784596333
0.134342+-0.17524715+-0.59896916,0.12645447+-0.15459123+-0.57773834,0.18884814+0.002778625+0.09462556,0.61128616,314,1716.817929625
0.13432339+-0.17526582+-0.5989916,0.12604596+-0.15544231+-0.57734376,0.18886097+0.0027680404+0.09461827,0.61104476,315,1716.851272958
0.13429447+-0.17526971+-0.59899527,0.12584548+-0.15584964+-0.57715505,0.18887667+0.0027531402+0.09460712,0.61092895,316,1716.884625708
0.13429697+-0.17532866+-0.59897316,0.12544225+-0.15662996+-0.57679385,0.18887152+0.0027231472+0.09462463,0.61070436,317,1716.917959375
0.13426246+-0.17538273+-0.5989816,0.12502001+-0.15738614+-0.5764461,0.18888748+0.0027047656+0.09462339,0.6104838,318,1716.95130375
0.13423572+-0.1754093+-0.5989907,0.12669304+-0.15615425+-0.57623994,0.1889071+0.0026928792+0.09462025,0.6103177,319,1716.984655041
0.13421579+-0.17543635+-0.59899724,0.13040638+-0.15298827+-0.576178,0.18892612+0.0026860898+0.094639316,0.61023957,320,1717.017989625
0.13419858+-0.17540006+-0.59904516,0.13231325+-0.15153192+-0.5759885,0.18894312+0.002665864+0.09463707,0.6101077,321,1717.051342416
0.13419518+-0.17540206+-0.59905416,0.13266009+-0.15138+-0.5758486,0.18895523+0.0026435142+0.09462804,0.6100133,322,1717.0846775
0.13415432+-0.17540982+-0.5990355,0.13269044+-0.15157989+-0.57600355,0.18896975+0.0026298976+0.09461888,0.6102158,323,1717.118019208
0.13415045+-0.17544818+-0.59902835,0.13131417+-0.1521129+-0.5792761,0.18898831+0.0026194274+0.09459881,0.61314154,324,1717.151364
0.13414654+-0.17544349+-0.5990317,0.13062467+-0.15233831+-0.58095425,0.1890059+0.002610157+0.0945796,0.6146361,325,1717.184706291
0.13410833+-0.17539962+-0.59900117,0.12990934+-0.1525973+-0.5828108,0.18901448+0.0026288647+0.09457143,0.61630416,326,1717.218058666
0.13416001+-0.17540094+-0.59898627,0.12979294+-0.15270917+-0.58331054,0.18903068+0.0026339479+0.09455988,0.61678,327,1717.251393791
0.13420244+-0.17541505+-0.59896857,0.13107167+-0.1536188+-0.5824956,0.18906188+0.0026242314+0.09454437,0.61650604,328,1717.284746291
0.13415699+-0.17535996+-0.59891254,0.1335593+-0.15535918+-0.5807946,0.18901734+0.0026479391+0.09464422,0.61587083,329,1717.318079333
0.13424924+-0.1753085+-0.598982,0.13500173+-0.15644419+-0.5799936,0.18902728+0.0026496015+0.09466244,0.61570513,330,1717.351423416
0.13425563+-0.17529106+-0.59899765,0.13536443+-0.15675908+-0.5798858,0.18905266+0.0026431577+0.09466679,0.6157633,331,1717.384777083
0.13424973+-0.17534557+-0.5989956,0.13591523+-0.15730113+-0.5802408,0.1890019+0.0026461696+0.09467785,0.61635697,332,1717.418110291
0.1342384+-0.17531514+-0.59900635,0.13712355+-0.1584611+-0.5828894,0.18899378+0.0026485715+0.09468863,0.61941326,333,1717.451453125
0.1342389+-0.17531717+-0.5990128,0.13776913+-0.15907067+-0.5842216,0.18899989+0.0026433747+0.0946924,0.62096596,334,1717.484794958
0.13423751+-0.17531069+-0.59901917,0.13876875+-0.16000928+-0.5857735,0.18890445+0.0026605+0.09466354,0.62288874,335,1717.51814275
0.13424152+-0.17526181+-0.5989805,0.13948137+-0.16067706+-0.58633596,0.18887939+0.00266169+0.09465262,0.62374836,336,1717.551483291
0.13425538+-0.17522818+-0.59897107,0.1380009+-0.15972544+-0.5870088,0.18886231+0.0026522083+0.094650716,0.6238075,337,1717.584833916
0.13424978+-0.17520297+-0.5989766,0.13443035+-0.15725012+-0.5880852,0.18885729+0.0026412867+0.09465602,0.62341267,338,1717.618177583
0.13423431+-0.17516501+-0.5989962,0.13261962+-0.15607926+-0.5889609,0.18886116+0.0026323432+0.09464771,0.6235572,339,1717.651516666
0.13422124+-0.17515735+-0.5989944,0.13230728+-0.15593117+-0.58932227,0.18886489+0.0026225476+0.09463394,0.6237952,340,1717.684865708
0.13421237+-0.17515025+-0.5989836,0.13216707+-0.15597832+-0.5899773,0.18886933+0.0026119323+0.0946254,0.6243962,341,1717.718200458
0.13421333+-0.17515007+-0.5989728,0.13211975+-0.15607476+-0.5906173,0.18887998+0.0026011541+0.09461432,0.625015,342,1717.751547375
0.13423884+-0.17515849+-0.59895575,0.13206099+-0.15608846+-0.59094256,0.18890114+0.0025930451+0.09460044,0.62531334,343,1717.784885416
0.13419831+-0.17523137+-0.5989558,0.13186988+-0.15606493+-0.5916047,0.18892968+0.0025783554+0.094590165,0.625893,344,1717.818229125
0.13417555+-0.1752607+-0.5989612,0.13162492+-0.15603203+-0.592272,0.18895696+0.0025571939+0.094575234,0.62646407,345,1717.851573833
0.13413253+-0.17529278+-0.598963,0.13008979+-0.15145183+-0.58863866,0.18898344+0.0025342563+0.09456134,0.6215758,346,1717.884918875
0.1341076+-0.17535442+-0.5989564,0.1273683+-0.1425255+-0.5809475,0.18901147+0.0025033066+0.09454791,0.611585,347,1717.918268083
0.13411668+-0.1754214+-0.5989352,0.12579787+-0.13753928+-0.577098,0.1890358+0.0024658535+0.09453459,0.6064522,348,1717.951603916
0.13409555+-0.17545992+-0.59892887,0.12538329+-0.13634792+-0.5764373,0.18906254+0.002428987+0.0945146,0.60546815,349,1717.984955791
0.13402517+-0.17551216+-0.59888786,0.12515551+-0.13506609+-0.5758167,0.18904543+0.002404333+0.09446452,0.6045425,350,1718.018289583
0.13396206+-0.17549767+-0.5988514,0.12707393+-0.13451564+-0.57346976,0.18904297+0.0023903835+0.09445394,0.6025859,351,1718.05163375
0.13396344+-0.17547856+-0.5988539,0.12805885+-0.13416958+-0.57218343,0.18904085+0.0023758402+0.09445123,0.6014935,352,1718.084977583
0.13393146+-0.17546594+-0.5988387,0.12902988+-0.13307531+-0.5703723,0.18891403+0.0025567487+0.094582856,0.5997352,353,1718.118320583
0.13408427+-0.17537919+-0.5989727,0.1290918+-0.1316746+-0.5693008,0.18888979+0.0026124064+0.09462152,0.59841985,354,1718.151664583
0.13417163+-0.17537676+-0.5990058,0.12869789+-0.13208343+-0.5714193,0.18888931+0.0026331851+0.09463166,0.6004408,355,1718.185010875
0.13416396+-0.17537077+-0.5990003,0.12811294+-0.13438196+-0.576375,0.1888673+0.0026071693+0.09462493,0.60554075,356,1718.218355875
0.13419084+-0.17533441+-0.59897655,0.12771954+-0.13511442+-0.5786677,0.18885891+0.002589082+0.09461589,0.607803,357,1718.251701333
0.13418211+-0.175334+-0.5989528,0.12757635+-0.13493828+-0.5789365,0.18885209+0.0025711812+0.09460217,0.6079898,358,1718.285044916
0.13413069+-0.1753328+-0.5989405,0.1276275+-0.13437355+-0.57889444,0.18884136+0.0025541596+0.09458396,0.6078353,359,1718.318396625
0.13413411+-0.17533503+-0.59891015,0.1296248+-0.13525549+-0.5794297,0.1888262+0.0025390498+0.0945678,0.60896254,360,1718.35172175
0.13409536+-0.17531922+-0.59889823,0.13067248+-0.13576938+-0.5797557,0.18880145+0.0025180522+0.09455099,0.6096108,361,1718.38506675
0.13404107+-0.17529096+-0.59887147,0.13188666+-0.13615905+-0.5801545,0.18879338+0.00251533+0.094534636,0.61033815,362,1718.418409375
0.13406609+-0.17528552+-0.59884334,0.13227938+-0.1359393+-0.58029836,0.18877348+0.0024991406+0.09451263,0.6105108,363,1718.451753041
0.13407074+-0.17528118+-0.5988122,0.13260524+-0.13613309+-0.5804061,0.18874691+0.0024764051+0.09449437,0.61072713,364,1718.485096083
0.13408868+-0.17526892+-0.5987888,0.13310449+-0.13691485+-0.5805577,0.18874227+0.0024942996+0.09451455,0.61115444,365,1718.518442333
0.13415363+-0.17527676+-0.5988045,0.13354185+-0.13723849+-0.58068734,0.18872477+0.0024886865+0.09451469,0.61144555,366,1718.551783375
0.13415658+-0.17525545+-0.5988181,0.13374206+-0.13724251+-0.58074045,0.18869138+0.002477968+0.09451054,0.6115406,367,1718.58513525
0.13415244+-0.17522956+-0.59883046,0.13413514+-0.13713628+-0.5808311,0.18874831+0.0025609685+0.09462088,0.6116889,368,1718.618479291
