peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13391484+-0.17574999+-0.5988059,0.13056691+-0.13470727+-0.5740802,0.1892403+0.0024453206+0.09429521,0.6039552,43,1707.748543666
0.13394204+-0.17571695+-0.5988068,0.13039777+-0.13442534+-0.5741756,0.18924733+0.0024749814+0.09428876,0.60394645,44,1707.781885
0.1339379+-0.17567691+-0.59880733,0.13038838+-0.13435987+-0.57437944,0.18919562+0.002434495+0.0942936,0.60412365,45,1707.815228333
0.1339994+-0.17563255+-0.598773,0.13035941+-0.13431488+-0.5744802,0.18916461+0.002422681+0.09430637,0.60420316,46,1707.848573125
0.13403432+-0.17562677+-0.5987559,0.1302656+-0.13418466+-0.5746548,0.18916203+0.0024279347+0.09429175,0.6043201,47,1707.881916708
0.1340138+-0.17558286+-0.5987489,0.13015656+-0.13404107+-0.57480216,0.18917075+0.0024282495+0.09430587,0.60440487,48,1707.915259083
0.1340098+-0.17557739+-0.5987564,0.13039674+-0.13437586+-0.5750865,0.18915318+0.0024336055+0.09434439,0.6048013,49,1707.948602416
0.13400844+-0.1755833+-0.5987951,0.13257602+-0.13732591+-0.57681847,0.18912432+0.0024456854+0.094356306,0.6075807,50,1707.981945916
0.1339734+-0.17557703+-0.59880656,0.13450085+-0.13991305+-0.57832843,0.18911058+0.0024597403+0.09435139,0.6100245,51,1708.015288125
0.13396333+-0.17557554+-0.5987982,0.13500023+-0.14057074+-0.57874936,0.18908478+0.0024716873+0.09437283,0.6106849,52,1708.048631416
0.13399377+-0.17556135+-0.5988308,0.13542846+-0.14112136+-0.5792073,0.18904252+0.002486781+0.09439275,0.6113405,53,1708.081987458
0.13403161+-0.17552532+-0.5988443,0.13288273+-0.13794115+-0.575913,0.18902172+0.0025107476+0.09440883,0.6069278,54,1708.115317958
0.13403367+-0.17547491+-0.5988762,0.13172829+-0.13650113+-0.5744015,0.18903883+0.0025217459+0.09442057,0.60491484,55,1708.148663166
0.13405874+-0.17545193+-0.5988998,0.13049066+-0.13497347+-0.57281756,0.18904287+0.0025355471+0.0944516,0.6027981,56,1708.182006541
0.13408673+-0.17549124+-0.5989196,0.13019416+-0.13462003+-0.57252216,0.18903491+0.002594874+0.0944998,0.6023742,57,1708.21534925
0.13413294+-0.17550312+-0.5989668,0.13025407+-0.13427871+-0.5727585,0.18906431+0.0026252267+0.09452102,0.6025356,58,1708.24869325
0.13406885+-0.17547882+-0.59907037,0.13088085+-0.13186307+-0.57446116,0.1890945+0.002639068+0.09454036,0.6037576,59,1708.28203525
0.13405454+-0.17550236+-0.59910154,0.1313713+-0.12955502+-0.5758816,0.18910746+0.0025616456+0.09443485,0.6047169,60,1708.315378625
0.13398646+-0.17554423+-0.5989791,0.13146035+-0.12881978+-0.57623076,0.18911625+0.002546137+0.09440319,0.60491174,61,1708.348722833
0.13399926+-0.17554067+-0.5989627,0.13145627+-0.12787603+-0.5765126,0.18914407+0.0025469577+0.09438514,0.60497916,62,1708.382074
0.13396817+-0.17554383+-0.5989571,0.13221265+-0.13139041+-0.5784058,0.18917234+0.0025054868+0.09432645,0.607698,63,1708.415408583
0.1339157+-0.17554519+-0.5989099,0.13257696+-0.13311195+-0.57925284,0.1891719+0.0024939803+0.09431955,0.6089575,64,1708.448752833
0.13390449+-0.17555335+-0.5989047,0.1330151+-0.13489604+-0.5803381,0.18918839+0.002497236+0.09432022,0.6104771,65,1708.48210525
0.1339291+-0.17554979+-0.59891343,0.13319129+-0.13520414+-0.580859,0.18919955+0.0024968393+0.094341375,0.6110788,66,1708.515439541
0.13391846+-0.17555135+-0.5989485,0.13338433+-0.13550025+-0.58113873,0.18919577+0.0024981059+0.09435309,0.6114523,67,1708.54878175
0.13394009+-0.17555413+-0.598958,0.1345623+-0.13793758+-0.58220536,0.18918788+0.0024953296+0.0943665,0.61326736,68,1708.58212525
0.13394292+-0.17556237+-0.5989722,0.13567474+-0.14024936+-0.5832106,0.1892019+0.0024910558+0.09437232,0.6149895,69,1708.615467791
0.13392101+-0.17557213+-0.59899384,0.13603596+-0.14094572+-0.5835748,0.18920887+0.0024936942+0.09437884,0.6155737,70,1708.648812958
0.13393831+-0.17556603+-0.59900784,0.13650444+-0.14176592+-0.58414084,0.18919443+0.0024995496+0.09439466,0.6164021,71,1708.682164916
0.1339464+-0.17556483+-0.5990245,0.13683422+-0.14235057+-0.58464485,0.18918376+0.0025024095+0.09439985,0.6170874,72,1708.715498041
0.13395353+-0.17553616+-0.5990392,0.136995+-0.1426532+-0.5849007,0.18918346+0.0025065483+0.09439858,0.61743534,73,1708.748849666
0.13396573+-0.17550728+-0.5990359,0.13734618+-0.14330381+-0.58542615,0.18917517+0.002513105+0.09440142,0.61816156,74,1708.782185583
0.13401212+-0.17551772+-0.59902066,0.13773347+-0.14398138+-0.5859618,0.18916248+0.0025163824+0.09440686,0.6189123,75,1708.81552875
0.13405351+-0.1755116+-0.59900993,0.13735157+-0.1440696+-0.58564544,0.1891659+0.0025231838+0.09440775,0.61854833,76,1708.84887325
0.13408291+-0.17552169+-0.59900004,0.13336396+-0.14283933+-0.58177793,0.18917117+0.002527875+0.09440284,0.6137219,77,1708.882225916
0.13406076+-0.17553082+-0.59899795,0.12988858+-0.14185683+-0.5784921,0.18916549+0.0025262116+0.094409995,0.60962903,78,1708.915558208
0.13407105+-0.17553431+-0.59899855,0.12904051+-0.14175932+-0.5777693,0.18916115+0.0025280237+0.09442123,0.6087401,79,1708.948902541
0.13409497+-0.17554528+-0.59899753,0.1283897+-0.14201172+-0.5774113,0.18917201+0.002529787+0.094431266,0.6083215,80,1708.982254833
0.13407709+-0.17555624+-0.59900934,0.12784381+-0.14106435+-0.57955647,0.18917283+0.0025263848+0.09444526,0.6100237,81,1709.01558875
0.13407944+-0.17554349+-0.5990254,0.1275785+-0.14053078+-0.58046514,0.18916503+0.0025267804+0.09448175,0.61070853,82,1709.048932208
0.13408579+-0.17553695+-0.59907705,0.12701389+-0.14001676+-0.58145225,0.1891618+0.002530161+0.0945143,0.61141145,83,1709.082284666
0.13413237+-0.17554896+-0.59910333,0.12646544+-0.14003308+-0.5817126,0.18915376+0.0025390105+0.09453321,0.6115491,84,1709.115618333
0.13409376+-0.17553881+-0.59914476,0.12704375+-0.13926059+-0.58182454,0.18914078+0.0025380729+0.09455668,0.6115991,85,1709.148962416
0.13408321+-0.17556663+-0.5991717,0.12873004+-0.13755149+-0.581992,0.18912251+0.002537556+0.09459062,0.6117242,86,1709.182306833
0.13411392+-0.17555521+-0.5992134,0.12949467+-0.13652208+-0.5821963,0.18910646+0.0025303073+0.094613664,0.61184937,87,1709.215649375
