TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
118978.550079875,0.62958324,-0.0057823136,-0.59570384,-0.035392158,-0.13839824,-0.39512148,-0.4702127,-1.1815912e-09,3.9390016e-09,2.8708065e-09,1021.642804145813,5964.8994140625,2
118978.566751958,0.62958324,-0.00575621,-0.5956739,-0.035221074,-0.13839824,-0.39512148,-0.4702127,-9.313226e-10,0.0,3.7252903e-09,1021.1435556411743,5964.8994140625,2
118978.58342375,0.62958324,-0.0056995135,-0.5956609,-0.035313338,-0.13839824,-0.39512148,-0.4702127,-9.313227e-10,-7.4505815e-09,0.0,1021.1435556411743,5964.8994140625,2
118978.60009575,0.62958324,-0.005699401,-0.59567356,-0.035482127,-0.13839824,-0.39512148,-0.4702127,6.7605405e-10,3.9431707e-09,-8.22328e-10,1021.4731693267822,5964.8994140625,2
118978.61676775,0.62958324,-0.0056536673,-0.59573925,-0.035824798,-0.13839824,-0.39512148,-0.4702127,-5.16227e-10,4.480692e-10,-1.6024579e-09,1021.7368602752686,5964.8994140625,2
118978.633439708,0.62958324,-0.005523166,-0.59584314,-0.036386948,-0.13839824,-0.39512148,-0.4702127,0.0,0.0,0.0,1022.1166610717773,5964.8994140625,2
118978.650111583,0.62958324,-0.0053504175,-0.59593946,-0.03661194,-0.13839824,-0.39512148,-0.4702127,-9.313226e-10,0.0,3.7252903e-09,1022.2517251968384,5964.8994140625,2
118978.666783708,0.62958324,-0.005233944,-0.5960351,-0.037046626,-0.13839824,-0.39512148,-0.4702127,0.0,-7.4505815e-09,3.7252907e-09,1022.3597288131714,5964.8994140625,2
118978.6834555,0.62958324,-0.005263183,-0.5960127,-0.03713729,-0.13839824,-0.39512148,-0.4702127,-9.313226e-10,0.0,0.0,1022.3597288131714,5964.8994140625,2
118978.7001275,0.62958324,-0.0053534354,-0.5959199,-0.03677989,-0.13839824,-0.39512148,-0.4702127,-9.3132246e-10,-7.4505797e-09,-3.7252899e-09,1022.4461555480957,5964.8994140625,2
118978.716799416,0.62958324,-0.005484362,-0.59578544,-0.036402687,-0.13839824,-0.39512148,-0.4702127,6.717784e-10,3.941543e-09,-8.199306e-10,1021.3741064071655,5964.8994140625,2
118978.733471458,0.62958324,-0.005529712,-0.595662,-0.03603289,-0.13839824,-0.39512148,-0.4702127,0.0,0.0,0.0,1020.971417427063,5964.8994140625,2
118978.750143458,0.62958324,-0.005529712,-0.595662,-0.03603289,-0.13839824,-0.39512148,-0.4702127,0.0,7.450581e-09,-3.7252903e-09,1020.971417427063,5964.8994140625,2
118978.766815416,0.62958324,-0.005833314,-0.59538156,-0.035468355,-0.13839824,-0.39512148,-0.4702127,5.128711e-10,7.0526154e-09,-2.0475657e-09,1021.6267108917236,5964.8994140625,2
