162083.632501,-0.014984,-1.000366,0.026871
162083.642506,-0.083191,-1.025238,0.103363
162083.652512,-0.167984,-1.022446,0.134003
162083.662518,-0.160278,-1.012756,0.113907
162083.672523,-0.108719,-0.998337,0.086823
162083.682529,-0.034134,-1.007767,0.043472
162083.692535,0.063248,-0.993851,0.006393
162083.702540,0.147171,-0.997742,-0.051376
162083.712546,0.190582,-0.971420,-0.092743
162083.722552,0.141968,-0.974014,-0.115356
162083.732557,0.077744,-0.980255,-0.100922
162083.742563,-0.017365,-0.997696,-0.063828
162083.752569,-0.100357,-1.002823,-0.017395
162083.762575,-0.128067,-1.000809,0.026428
162083.772580,-0.119141,-1.001312,0.071228
162083.782586,-0.084259,-1.002197,0.115189
162083.792592,-0.043747,-1.017807,0.138245
162083.802597,0.005753,-1.016479,0.124039
162083.812603,0.031693,-1.011597,0.058441
162083.822609,0.039597,-0.986588,-0.028336
162083.832614,0.046738,-0.974197,-0.101288
162083.842620,0.043564,-0.969574,-0.124084
162083.852626,0.037628,-0.987274,-0.086746
162083.862631,0.011612,-1.001434,-0.019165
162083.872637,-0.027466,-1.012039,0.027679
162083.882643,-0.047226,-1.003265,0.065552
162083.892648,-0.046173,-1.000320,0.082397
162083.902654,-0.051880,-1.004883,0.077484
162083.912660,-0.011383,-1.009323,0.055099
162083.922666,0.025894,-1.005173,0.013535
162083.932671,0.046585,-0.988358,-0.035202
162083.942677,0.060135,-0.981033,-0.024445
162083.952683,0.014099,-0.992950,0.038956
162083.962688,0.024673,-1.004196,0.023560
162083.972694,-0.056351,-1.011154,-0.021805
162083.982700,-0.060211,-0.994415,-0.041733
162083.992705,-0.041702,-0.976868,-0.073700
162084.002711,-0.073318,-0.981415,-0.086426
162084.012717,0.004028,-0.993423,-0.039093
162084.022722,0.021912,-1.011139,0.017380
162084.032728,0.035675,-1.005737,0.025070
162084.042734,0.048706,-0.994965,0.042603
162084.052739,0.033646,-0.993515,0.067444
162084.062745,0.012772,-1.002060,0.052597
162084.072751,-0.037811,-1.015808,0.051697
162084.082757,-0.031281,-1.009186,0.032867
162084.092762,-0.056503,-0.992432,-0.027176
162084.102768,-0.054184,-0.982239,-0.068146
162084.112774,-0.002853,-0.983871,-0.064194
162084.122779,0.003952,-0.995773,-0.053329
162084.132785,0.029816,-1.000076,-0.037094
162084.142791,0.041885,-0.997330,0.001129
162084.152796,0.031586,-0.991882,0.017883
162084.162802,0.003693,-0.994125,0.035477
162084.172808,-0.019043,-1.008850,0.071426
162084.182813,-0.026276,-1.012894,0.073944
162084.192819,-0.053207,-1.008377,0.039429
162084.202825,-0.034225,-0.995300,0.007004
162084.212831,-0.010849,-0.985931,-0.027832
162084.222836,-0.001724,-0.990448,-0.056076
162084.232842,0.026657,-0.994156,-0.052841
162084.242848,0.031876,-0.994934,-0.042313
162084.252853,0.019562,-0.989624,-0.039261
162084.262859,0.002014,-0.990463,-0.012268
162084.272865,-0.011703,-0.998138,0.029221
162084.282870,-0.032761,-1.008331,0.051987
162084.292876,-0.039978,-1.014420,0.066299
162084.302882,-0.023163,-1.005829,0.060699
162084.312888,-0.013168,-0.994873,0.024353
162084.322893,0.003799,-0.992630,-0.005264
162084.332899,0.024689,-0.993362,-0.018066
162084.342905,0.023621,-0.996063,-0.039688
162084.352910,0.015884,-0.991959,-0.054016
162084.362916,0.000748,-0.988892,-0.046921
162084.372922,-0.015549,-0.989410,-0.031601
162084.382927,-0.034515,-0.997787,-0.002365
