peerPosAR,peerPosNI,MyPos,Time
0.32890412+-0.15247652+-0.48298556,0.287826+0.023309384+-0.6914896,0.0059206365+0.17746767+0.08427673,467
0.32889146+-0.1524522+-0.4829734,0.28951395+0.02360189+-0.6927047,0.0058993613+0.17747614+0.08427005,468
0.32884687+-0.15242927+-0.48295638,0.29054022+0.023803087+-0.6935164,0.0058746403+0.1774833+0.084263355,469
0.32884687+-0.15242927+-0.48295638,0.29110414+0.023935433+-0.69404274,0.0058470652+0.17748679+0.08425754,470
0.32882932+-0.15237318+-0.48295772,0.29110414+0.023935433+-0.69404274,0.0058410214+0.17751941+0.08439829,471
0.32881033+-0.15236288+-0.48279077,0.29141226+0.024026532+-0.6944096,0.0058296556+0.17753273+0.08444493,472
0.32881033+-0.15236288+-0.48279077,0.2916186+0.024100216+-0.694712,0.0058117895+0.17753679+0.08445513,473
0.3287724+-0.15232827+-0.48270333,0.29181442+0.024170386+-0.69500643,0.0057898844+0.17753766+0.08445237,474
0.3287419+-0.15230326+-0.48268673,0.29203975+0.024244497+-0.6953187,0.0057678367+0.17753711+0.08444582,475
0.32871303+-0.15228076+-0.4826828,0.2923002+0.024326505+-0.6956557,0.0057464754+0.17753609+0.084436275,476
0.32867843+-0.1522641+-0.48267546,0.2925874+0.024413591+-0.6960143,0.005734226+0.17752737+0.084546484,477
0.32864204+-0.15224493+-0.48255435,0.2925874+0.024413591+-0.6960143,0.0057229553+0.17751636+0.084580496,478
0.32864204+-0.15224493+-0.48255435,0.29289305+0.024500981+-0.69638634,0.005712992+0.17750424+0.08458442,479
0.3287908+-0.15212299+-0.48254418,0.29321277+0.024588808+-0.6967631,0.00570318+0.17749253+0.08458131,480
0.328985+-0.1520173+-0.48259345,0.29354137+0.024678582+-0.6971395,0.0056932746+0.17748173+0.084576346,481
0.328985+-0.1520173+-0.48259345,0.2905975+0.024476817+-0.69371134,0.005679642+0.17747068+0.0845727,482
0.32902035+-0.15195419+-0.48260796,0.2905975+0.024476817+-0.69371134,0.005721948+0.17756979+0.08476345,483
0.329136+-0.15197642+-0.48241767,0.28718305+0.02416917+-0.6897529,0.0057352846+0.1776033+0.08482824,484
0.32916972+-0.15197533+-0.48234856,0.2842229+0.0239087+-0.686328,0.0057347203+0.1776099+0.08484416,485
0.32916966+-0.15196575+-0.48232508,0.28219226+0.023744581+-0.6839847,0.005729024+0.17760886+0.08484157,486
0.3291553+-0.1519581+-0.48231465,0.28103268+0.023672977+-0.68265915,0.0057227616+0.17760631+0.08483298,487
0.32914332+-0.15194675+-0.48231593,0.28047946+0.0236691+-0.6820524,0.005718372+0.17760298+0.08482533,488
0.329119+-0.15192993+-0.48230684,0.28047946+0.0236691+-0.6820524,0.0056775184+0.17762099+0.084901124,489
0.329119+-0.15192993+-0.48230684,0.28025806+0.023702478+-0.68184793,0.0056630024+0.17762811+0.084927715,490
0.32913607+-0.15186359+-0.4821994,0.28018057+0.023950543+-0.6821927,0.005658426+0.17763071+0.08493461,491
0.32912526+-0.15185802+-0.4821836,0.28014508+0.024642041+-0.6834023,0.0056562987+0.17763352+0.08493389,492
0.3292128+-0.15188776+-0.48222643,0.2800862+0.025573755+-0.68501997,0.005654645+0.17763764+0.0849308,493
0.32930118+-0.1519172+-0.48227608,0.27996853+0.026408177+-0.68637747,0.0056575504+0.17764364+0.08492708,494
0.3293268+-0.1519269+-0.4822869,0.27978957+0.027030556+-0.68727076,0.0056145084+0.17766209+0.08501376,495
0.32934657+-0.15188336+-0.48220113,0.27978957+0.027030556+-0.68727076,0.005597648+0.1776716+0.08504898,496
0.32935196+-0.15185986+-0.48216477,0.27956375+0.027444677+-0.68774146,0.0055939304+0.17767686+0.085064754,497
0.3293485+-0.15185133+-0.482145,0.27931184+0.027703242+-0.6879202,0.0055940496+0.17768008+0.08507469,498
0.32934096+-0.15185069+-0.4821316,0.2790496+0.027868465+-0.68793964,0.005595532+0.17768225+0.08508309,499
0.32933313+-0.15185328+-0.4821182,0.28092027+0.025589699+-0.6852982,0.005596981+0.17768247+0.08509456,500
0.32931677+-0.15185256+-0.48209733,0.28092027+0.025589699+-0.6852982,0.0055738045+0.17766204+0.08513573,501
0.32931677+-0.15185256+-0.48209733,0.2831755+0.0230902+-0.68261534,0.0055691795+0.17765437+0.08515587,502
0.32928163+-0.15182376+-0.4820302,0.2851698+0.020903155+-0.68026215,0.005573637+0.17765117+0.08516848,503
0.32927132+-0.15182614+-0.48201108,0.2865856+0.019353513+-0.6785639,0.0055788695+0.1776489+0.08517695,504
0.32926092+-0.1518255+-0.481995,0.2874483+0.018401291+-0.67747796,0.005584601+0.17764631+0.08518304,505
0.32924664+-0.15182337+-0.48197526,0.28791806+0.017869225+-0.6768214,0.0055890856+0.17764327+0.08519058,506
0.32923228+-0.15182035+-0.4819526,0.28791806+0.017869225+-0.6768214,0.0055921124+0.17763853+0.08520237,507
0.32921806+-0.15181173+-0.48192698,0.28816536+0.01757066+-0.6764035,0.005595964+0.1776339+0.08521749,508
0.32920337+-0.15180932+-0.4819003,0.28839913+0.0180619+-0.6760202,0.005601064+0.1776292+0.08523507,509
0.32918757+-0.15180781+-0.4818693,0.2887951+0.02009679+-0.67551184,0.0056088404+0.17762503+0.08525403,510
0.32911626+-0.15179184+-0.4818337,0.28931236+0.022953851+-0.67490065,0.005618012+0.17761907+0.085273504,511
0.3290486+-0.15178105+-0.48179883,0.28982264+0.02545747+-0.6742828,0.005629315+0.17761305+0.08529273,512
0.3290163+-0.15177691+-0.48176625,0.29027134+0.0272179+-0.67370147,0.005613896+0.17758805+0.08533677,513
0.3289794+-0.1517422+-0.48171318,0.29027134+0.0272179+-0.67370147,0.005610676+0.17757674+0.0853614,514
0.32895604+-0.1517284+-0.4816802,0.29065526+0.02827349+-0.6731634,0.0056119827+0.17757216+0.08538096,515
0.3289422+-0.15172023+-0.48165664,0.2909985+0.028826876+-0.6726566,0.005614136+0.17756584+0.085399896,516
0.3289256+-0.1517096+-0.48162758,0.29132658+0.02909435+-0.6721656,0.0056140134+0.17755768+0.08541804,517
0.32890624+-0.15170024+-0.48160022,0.28886402+0.027372448+-0.6743739,0.0056130295+0.17754959+0.08543578,518
0.32888445+-0.15168758+-0.48156983,0.28886402+0.027372448+-0.6743739,0.005534122+0.17758171+0.0853815,519
0.32890248+-0.15160294+-0.48161888,0.28592038+0.025434896+-0.67721575,0.005507224+0.17759624+0.085362636,520
0.32890368+-0.15156859+-0.4816314,0.2833153+0.023760105+-0.67969054,0.005501504+0.17760187+0.085359015,521
0.32889578+-0.15155394+-0.48162687,0.2814612+0.02260971+-0.68137336,0.0055024833+0.17760555+0.08536149,522
0.3288848+-0.15155037+-0.48161805,0.28032377+0.021955585+-0.68230337,0.0055047614+0.17760979+0.0853629,523
0.3288755+-0.15154293+-0.48161045,0.27969655+0.0216544+-0.68269926,0.0055080564+0.17761123+0.08536345,524
0.32886076+-0.15154684+-0.48160118,0.27969655+0.0216544+-0.68269926,0.0055103586+0.1776082+0.08536618,525
0.32884577+-0.15154272+-0.48159415,0.2793598+0.02154982+-0.6827942,0.0055095116+0.17760478+0.08537221,526
0.3288266+-0.15153679+-0.48157692,0.27914524+0.021521416+-0.6827654,0.0055090142+0.1776006+0.08538009,527
0.32880872+-0.15152997+-0.4815648,0.27894947+0.02149754+-0.68271977,0.005511535+0.1775958+0.085390896,528
0.32900247+-0.15167144+-0.48170125,0.27872527+0.021447461+-0.6827058,0.0055159135+0.17759053+0.08540267,529
0.3291773+-0.1518006+-0.4818242,0.27846244+0.021365443+-0.6827345,0.005520028+0.17758295+0.08541546,530
0.32922673+-0.15184541+-0.48185366,0.2781653+0.021257829+-0.6827994,0.005473154+0.17758486+0.085377134,531
0.32924747+-0.15181322+-0.48190957,0.2781653+0.021257829+-0.6827994,0.0054581566+0.17758332+0.08536201,532
0.32925302+-0.15180452+-0.48193318,0.27784163+0.021133864+-0.6828895,0.005454649+0.1775809+0.085358895,533
0.32925487+-0.15180495+-0.48194012,0.27750224+0.021000117+-0.6829933,0.0054578865+0.17757757+0.085359804,534
0.32931823+-0.1518291+-0.48199445,0.2771563+0.02086184+-0.6831023,0.005463819+0.17757446+0.085361704,535
0.32937092+-0.15185107+-0.48203564,0.2774173+0.01915864+-0.6857646,0.0054687993+0.17757012+0.08536389,536
0.3293864+-0.15186585+-0.4820502,0.2774173+0.01915864+-0.6857646,0.0054752477+0.17756322+0.08536781,537
0.3293875+-0.15188028+-0.48205328,0.27807173+0.017545797+-0.68839675,0.005442227+0.1775732+0.085403964,538
0.32940102+-0.15185279+-0.4820183,0.27860725+0.01611465+-0.69071233,0.005439137+0.17757222+0.08541777,539
0.32940048+-0.15185282+-0.48199636,0.27889025+0.015046914+-0.69240004,0.0054488042+0.17756405+0.085424274,540
0.3294281+-0.15185009+-0.4819703,0.27893487+0.01431673+-0.6935002,0.00546285+0.17755319+0.08542945,541
0.32944807+-0.15185517+-0.48195094,0.27881348+0.013819338+-0.69418734,0.005480925+0.17754357+0.085435845,542
0.32945007+-0.15187225+-0.48193857,0.2786022+0.013450094+-0.69464415,0.0055007297+0.17753291+0.08544295,543
0.329444+-0.15189576+-0.48192623,0.2786022+0.013450094+-0.69464415,0.0055218735+0.17752132+0.08544756,544
0.32943413+-0.1519213+-0.48191714,0.27923873+0.0136378+-0.6942304,0.0055424543+0.17750902+0.085451506,545
0.329422+-0.15194643+-0.4819095,0.28181046+0.014940759+-0.6921015,0.00556104+0.17749698+0.085454226,546
0.32941085+-0.1519705+-0.4819042,0.28545773+0.016839065+-0.6890738,0.005579564+0.17748514+0.08545499,547
0.32939845+-0.15199488+-0.4818993,0.28869998+0.018480314+-0.6864676,0.0056008217+0.17747264+0.085453555,548
0.32938588+-0.15202299+-0.48189887,0.29103246+0.019579627+-0.68471515,0.0056243283+0.1774587+0.08545138,549
0.32936898+-0.15205748+-0.4818956,0.29103246+0.019579627+-0.68471515,0.0056481627+0.1774458+0.08544746,550
0.32935375+-0.15209238+-0.48189822,0.2924905+0.020163605+-0.6837657,0.0056719435+0.17743215+0.085442804,551
0.32933903+-0.15212932+-0.48190448,0.2933257+0.020382265+-0.6833811,0.005694029+0.17741688+0.08543722,552
0.3293214+-0.15215935+-0.48190853,0.29381305+0.020396935+-0.6833091,0.005716284+0.177402+0.08543377,553
0.32930356+-0.15218975+-0.4819118,0.29373413+0.020952916+-0.6836728,0.0057395445+0.17738822+0.08543033,554
0.32928944+-0.15222299+-0.4819212,0.29329956+0.021628477+-0.6839609,0.005724464+0.17739023+0.0854282,555
0.32928547+-0.15221973+-0.48192212,0.29329956+0.021628477+-0.6839609,0.0057344944+0.17738374+0.08542156,556
0.3292747+-0.15223753+-0.48193136,0.2930009+0.022251878+-0.6841736,0.005754209+0.17737284+0.08541461,557
0.32925963+-0.15226147+-0.48193878,0.29293844+0.022724904+-0.68428606,0.0057769613+0.17735842+0.08540779,558
0.3292219+-0.15230092+-0.4819598,0.2930851+0.023047378+-0.68431723,0.0057988456+0.17734303+0.08539942,559
0.329187+-0.15233268+-0.48198032,0.29337007+0.023264326+-0.6842981,0.0058215777+0.1773295+0.08539207,560
0.32916024+-0.1523691+-0.4819869,0.29337007+0.023264326+-0.6842981,0.0058451695+0.17731932+0.085384525,561
0.32914102+-0.15239935+-0.48199144,0.29373258+0.023424732+-0.6842525,0.0058707995+0.17731147+0.085374534,562
0.329124+-0.15243001+-0.4819959,0.29374105+0.023353392+-0.6844662,0.005903757+0.17730562+0.08536247,563
0.3291083+-0.15247051+-0.48200288,0.29289457+0.0228195+-0.6852747,0.005939937+0.17729788+0.08534603,564
0.32909137+-0.15251654+-0.48202044,0.2915598+0.022036925+-0.68641585,0.0059744944+0.17728928+0.08532828,565
0.32907522+-0.15255477+-0.4820394,0.2903897+0.021355923+-0.687434,0.0060101775+0.1772824+0.085308544,566
0.32906082+-0.15259384+-0.48205686,0.2903897+0.021355923+-0.687434,0.006045457+0.17727531+0.08528718,567
0.32904315+-0.15263984+-0.48207158,0.28960833+0.020893391+-0.6881751,0.0059562987+0.17727342+0.08523433,568
0.329032+-0.15255663+-0.48212165,0.28920352+0.020640738+-0.6886499,0.005934122+0.17727616+0.08520444,569
0.3290305+-0.15253833+-0.48215124,0.28907382+0.020540837+-0.6889326,0.0059343465+0.17728151+0.08518218,570
0.3290286+-0.15254444+-0.48216617,0.28910726+0.020530818+-0.6891038,0.0059419656+0.177287+0.0851613,571
0.32902762+-0.15255624+-0.48217922,0.28619134+0.02100417+-0.68899226,0.005952627+0.1772912+0.08514032,572
0.32902288+-0.15258302+-0.48219186,0.28301635+0.021457683+-0.68875664,0.005963652+0.1772946+0.08511927,573
0.32901812+-0.1526037+-0.4822059,0.28301635+0.021457683+-0.68875664,0.0059757093+0.17729694+0.085096724,574
0.32900944+-0.15262188+-0.48221707,0.28017634+0.021849917+-0.6885889,0.005987652+0.17730094+0.08507336,575
0.32900336+-0.15264267+-0.48223543,0.27807954+0.022127703+-0.6885376,0.006001225+0.17730582+0.08504712,576
0.32899606+-0.15266277+-0.48225558,0.2766924+0.022301966+-0.6885919,0.0060162703+0.1773122+0.08502009,577
0.32898873+-0.15268561+-0.48228148,0.2758098+0.022407588+-0.68871856,0.0060301+0.17731953+0.084990926,578
0.3289808+-0.15270315+-0.4823048,0.27521306+0.022478648+-0.6888835,0.0056963926+0.17735499+0.085212894,579
0.32901073+-0.15237187+-0.4820955,0.27521306+0.022478648+-0.6888835,0.005576287+0.17736772+0.0852893,580
0.32901198+-0.152251+-0.48201975,0.27473718+0.022539027+-0.6890614,0.0055356664+0.1773722+0.085311316,581
0.32900152+-0.15221553+-0.4819959,0.27428272+0.022599675+-0.6892378,0.0055215736+0.17737354+0.08531608,582
0.32898784+-0.152212+-0.48199198,0.27380234+0.02266275+-0.6894074,0.005514665+0.17737494+0.08531311,583
0.32897088+-0.1522131+-0.48198804,0.27328032+0.022727726+-0.68957126,0.0055116485+0.17737667+0.08530817,584
0.32895222+-0.15221816+-0.48198187,0.27271876+0.022792416+-0.6897323,0.005478498+0.17734192+0.085332595,585
0.32890093+-0.1521916+-0.48195103,0.27271876+0.022792416+-0.6897323,0.0054697664+0.17732953+0.08534331,586
0.32887205+-0.15218677+-0.48193508,0.27212903+0.022855202+-0.68989265,0.0054662554+0.17732586+0.0853487,587
0.32885066+-0.15218651+-0.4819256,0.2715245+0.022917315+-0.69005287,0.005465214+0.17732272+0.08534997,588
0.32878724+-0.15227573+-0.481928,0.27091575+0.022981223+-0.69021285,0.0054647797+0.17732073+0.08534804,589
0.3287412+-0.15234339+-0.4819312,0.271599+0.023104372+-0.6871856,0.0054619974+0.1773219+0.08534609,590
0.3287239+-0.15236191+-0.48193407,0.271599+0.023104372+-0.6871856,0.0054475097+0.17725839+0.085284695,591
0.32864594+-0.1523573+-0.48199135,0.27298677+0.023160025+-0.6838726,0.005438235+0.17723684+0.08526125,592
0.32861203+-0.15235388+-0.48201156,0.27415946+0.023219038+-0.68097883,0.005430712+0.17722811+0.085251905,593
0.3285924+-0.15235345+-0.4820195,0.27485615+0.023285348+-0.67894083,0.0054218234+0.17722201+0.08524611,594
0.3285737+-0.15235208+-0.4820201,0.27509585+0.023356427+-0.6777086,0.0054079546+0.17721787+0.08524325,595
0.32855606+-0.15234098+-0.4820182,0.27500924+0.023426106+-0.67704433,0.005393802+0.17721568+0.08524278,596
0.32853773+-0.15233327+-0.4820123,0.2747404+0.023493282+-0.6766958,0.00537926+0.17721318+0.08524404,597
0.32852066+-0.15231998+-0.48200667,0.2747404+0.023493282+-0.6766958,0.005364663+0.1772086+0.08524619,598
0.3284959+-0.15231371+-0.4819969,0.27519676+0.023767235+-0.6762048,0.005349041+0.17720187+0.0852466,599
0.3284726+-0.15230052+-0.48199382,0.27739516+0.024496121+-0.6751383,0.005330768+0.17719263+0.08524547,600
0.32844058+-0.15229012+-0.4819831,0.28056934+0.02547648+-0.6737129,0.005312291+0.17718273+0.0852462,601
0.32840833+-0.15227601+-0.48197362,0.2833813+0.02636242+-0.67236966,0.005295885+0.17717409+0.085244544,602
0.32837552+-0.15225886+-0.48196524,0.28537247+0.02703625+-0.6712704,0.0052801655+0.17716675+0.08524027,603
0.32834107+-0.15224768+-0.48195758,0.28537247+0.02703625+-0.6712704,0.005265792+0.17716077+0.085237615,604
0.3283113+-0.15222971+-0.4819516,0.28657612+0.027504664+-0.6704154,0.005249715+0.17715532+0.085234255,605
0.3282817+-0.15221757+-0.48194867,0.28722376+0.027822768+-0.6697369,0.0052336+0.17714918+0.08522749,606
0.3282511+-0.15220143+-0.4819459,0.28756222+0.028053602+-0.6691589,0.0052153775+0.1771435+0.0852212,607
0.32822347+-0.1521833+-0.48194858,0.2874223+0.026703563+-0.67196935,0.005194514+0.17714117+0.08521396,608
0.32819605+-0.15216583+-0.48194608,0.2870606+0.0250841+-0.67547405,0.0052293846+0.1770698+0.08514244,609
0.32809785+-0.15220915+-0.48200583,0.2870606+0.0250841+-0.67547405,0.00523244+0.17704704+0.0851137,610
0.32804632+-0.15221976+-0.4820216,0.2867875+0.02366989+-0.6784993,0.005223737+0.17704126+0.085099876,611
0.32801276+-0.15221727+-0.48202604,0.28667587+0.022687243+-0.6805306,0.0052113426+0.17704158+0.085087664,612
0.32798836+-0.1522099+-0.48203164,0.28671464+0.022113787+-0.6816226,0.0051973695+0.17704299+0.085073985,613
0.32796404+-0.15219493+-0.48203456,0.2868596+0.021834102+-0.68205094,0.0051821643+0.17704365+0.085058235,614
0.32793894+-0.15217926+-0.4820394,0.28706294+0.021725006+-0.68210876,0.0053101177+0.17698641+0.085023224,615
0.32785153+-0.15230674+-0.48205134,0.28706294+0.021725006+-0.68210876,0.0053552105+0.17696586+0.08500216,616
0.32780308+-0.15235242+-0.48206028,0.28735465+0.021787602+-0.68199474,0.0053714095+0.17695539+0.0849852,617
0.32776567+-0.15236938+-0.48206666,0.28779182+0.022079466+-0.6818144,0.005379387+0.17694797+0.08496605,618
0.3279084+-0.15229622+-0.4820421,0.28829798+0.022476645+-0.68164974,0.005382837+0.17694226+0.08494571,619
0.32802334+-0.15223128+-0.482028,0.288761+0.02280596+-0.681551,0.0053846696+0.17693491+0.0849252,620
0.32804912+-0.15220487+-0.48203045,0.28915+0.023013068+-0.6815196,0.005416709+0.1768799+0.08493194,621
0.32799873+-0.15222546+-0.48200905,0.28915+0.023013068+-0.6815196,0.005429399+0.17686394+0.084933564,622
0.32798168+-0.15222992+-0.48200497,0.28947738+0.023108324+-0.6815357,0.005433843+0.17685764+0.08493207,623
0.32796678+-0.1522251+-0.4819991,0.28976756+0.023124587+-0.6815774,0.005435795+0.17685635+0.08493236,624
0.3281824+-0.15214343+-0.48196217,0.29003966+0.023094844+-0.6816291,0.005437017+0.17685862+0.08493398,625
0.32834518+-0.15208301+-0.4819291,0.28949505+0.023117993+-0.67982846,0.0054343464+0.17686163+0.08493312,626
0.3283938+-0.15206285+-0.48191446,0.28863445+0.023202209+-0.6778966,0.005494944+0.17684501+0.08501122,627
0.32838896+-0.15211251+-0.4818213,0.28863445+0.023202209+-0.6778966,0.005513265+0.17684133+0.08503824,628
0.32838565+-0.15212539+-0.4817831,0.2878989+0.023280762+-0.67619646,0.005514619+0.17684135+0.08504274,629
0.32838255+-0.15212016+-0.48176774,0.28743285+0.023337733+-0.6749775,0.0055121602+0.17683953+0.08504025,630
0.32853752+-0.15215778+-0.48183715,0.28722268+0.023373846+-0.67421305,0.0055077197+0.17683902+0.08503356,631
0.32865685+-0.15218468+-0.4818985,0.28719237+0.023396522+-0.67377007,0.0055028787+0.17683904+0.085026234,632
0.3286946+-0.15219432+-0.48192316,0.28726044+0.023412371+-0.6735075,0.005523027+0.17681085+0.08501847,633
0.32867524+-0.15222724+-0.48192802,0.28726044+0.023412371+-0.6735075,0.005530213+0.1768036+0.0850121,634
0.3286729+-0.1522371+-0.48193136,0.2873686+0.023422526+-0.6733179,0.005532504+0.17680457+0.08500895,635
0.32867566+-0.15224195+-0.48193005,0.28748748+0.023423426+-0.6731348,0.0055343686+0.17681+0.085004374,636
0.32868394+-0.15224418+-0.48193187,0.2876051+0.023414038+-0.672928,0.00553337+0.1768164+0.0849991,637
0.32869074+-0.15224572+-0.48193294,0.28771627+0.02340019+-0.67269146,0.0055304514+0.17682178+0.084993675,638
0.3286909+-0.15224898+-0.48192737,0.2878192+0.02338961+-0.6724312,0.005529578+0.17682779+0.08498765,639
0.32869303+-0.15224881+-0.48192102,0.2878192+0.02338961+-0.6724312,0.005528533+0.17683288+0.08498314,640
0.32869723+-0.15224926+-0.4819176,0.28791305+0.023386717+-0.672157,0.005527072+0.1768397+0.08497824,641
0.32870385+-0.15224963+-0.48191646,0.2879981+0.023390934+-0.67187744,0.005525372+0.17684719+0.08497176,642
0.32868695+-0.15222713+-0.48193568,0.28807586+0.023398375+-0.671598,0.0055244328+0.17685656+0.084967345,643
0.32867873+-0.1522113+-0.48195338,0.28480238+0.021185728+-0.672483,0.0055248896+0.17686825+0.08496371,644
0.32868037+-0.15221058+-0.4819526,0.2813217+0.018873127+-0.67371005,0.005526169+0.17687944+0.08495965,645
0.32868698+-0.15221332+-0.48195207,0.2813217+0.018873127+-0.67371005,0.0055266256+0.17688742+0.084956184,646
0.32869348+-0.15221411+-0.4819517,0.27825978+0.016825018+-0.67476517,0.005523995+0.17689577+0.08495307,647
0.32869896+-0.15221813+-0.48195302,0.27606043+0.015331224+-0.6754556,0.0055195955+0.17690377+0.08495106,648
0.3287055+-0.15222365+-0.48196176,0.27467504+0.014363757+-0.6757997,0.005516936+0.17691335+0.08494774,649
0.32871163+-0.15223019+-0.48196584,0.27386674+0.013772011+-0.67589724,0.0055119353+0.17692263+0.08494448,650
0.3287188+-0.15223208+-0.4819726,0.27338314+0.013395205+-0.67585564,0.0054890933+0.17690268+0.08494225,651
0.32869446+-0.15221876+-0.48197538,0.27338314+0.013395205+-0.67585564,0.0054810876+0.17689782+0.084942326,652
0.32868525+-0.15222274+-0.4819785,0.27374431+0.01339701+-0.6767081,0.0054782783+0.1768966+0.08494261,653
0.32867947+-0.1522265+-0.48197863,0.275683+0.014043395+-0.6796311,0.0054755327+0.17689653+0.084943585,654
0.3286749+-0.15223046+-0.4819813,0.278429+0.01501044+-0.6836796,0.005474205+0.17689602+0.08494372,655
0.3286668+-0.15223889+-0.4819798,0.28076738+0.015803376+-0.68724793,0.0054740524+0.17689437+0.08494491,656
0.32865894+-0.15224421+-0.48197478,0.2823069+0.016264534+-0.689803,0.0054466045+0.1769224+0.08495599,657
0.32868007+-0.1522271+-0.4819613,0.2823069+0.016264534+-0.689803,0.0054399245+0.17693344+0.084959425,658
0.3286822+-0.15223196+-0.48195234,0.2830974+0.01642253+-0.6913994,0.005440258+0.17694008+0.08496131,659
0.32868117+-0.15224363+-0.48194468,0.2833558+0.016374815+-0.6923209,0.0054423013+0.17694603+0.08496308,660
0.32867816+-0.15226111+-0.48193464,0.28331432+0.016214626+-0.692867,0.0054450245+0.17695181+0.08496539,661
0.32867494+-0.15227672+-0.48192263,0.28432575+0.018188562+-0.69294053,0.0054453285+0.17695689+0.08496804,662
0.32867414+-0.15229398+-0.48192072,0.2856006+0.020495666+-0.69261414,0.0053779692+0.17690013+0.085024476,663
0.32860973+-0.15223897+-0.48185527,0.2856006+0.020495666+-0.69261414,0.0053529674+0.17687722+0.08504655,664
0.32857913+-0.152229+-0.48182797,0.2867747+0.022550331+-0.692416,0.0053429464+0.1768657+0.08505798,665
0.32855898+-0.15223892+-0.48181364,0.28766164+0.024030216+-0.69244117,0.0053372816+0.17685874+0.08506402,666
0.3285415+-0.15224896+-0.48179948,0.28826156+0.02495619+-0.6926692,0.005334391+0.17685573+0.085067615,667
0.3285285+-0.15226425+-0.4817886,0.28865218+0.025487557+-0.6930367,0.00533443+0.1768556+0.08506958,668
0.32851884+-0.15228178+-0.48178214,0.28892303+0.025798216+-0.6934792,0.005290641+0.17682569+0.08505855,669
0.32847697+-0.15225478+-0.48178634,0.28892303+0.025798216+-0.6934792,0.0052797687+0.1768182+0.08504895,670
0.32845283+-0.1522668+-0.48178297,0.2881426+0.025656454+-0.69380754,0.0052792164+0.17681655+0.085040145,671
0.3284386+-0.15228818+-0.48178738,0.2851551+0.024702968+-0.69382787,0.0052800206+0.17681646+0.085031375,672
0.3284001+-0.15235008+-0.48176843,0.28096795+0.023328276+-0.69367933,0.0052817934+0.17681691+0.085025266,673
0.32837263+-0.15240778+-0.4817532,0.27726418+0.02214892+-0.6936049,0.005285757+0.17681704+0.085021704,674
0.32835925+-0.15244015+-0.48174116,0.27460927+0.021367557+-0.6936843,0.0052392413+0.17682151+0.085060254,675
0.3283583+-0.15241118+-0.48169327,0.27460927+0.021367557+-0.6936843,0.005225516+0.17681997+0.0850713,676
0.32835132+-0.15241264+-0.4816694,0.27295345+0.02096266+-0.693909,0.005224806+0.17681952+0.08507438,677
0.3283458+-0.15243186+-0.48165396,0.27200404+0.020824695+-0.69423735,0.0052266894+0.17681877+0.08507556,678
0.32834032+-0.1524601+-0.48164225,0.2714491+0.020834116+-0.6946243,0.005231184+0.17681758+0.08507635,679
0.32833433+-0.1524858+-0.48162946,0.27405992+0.020635016+-0.6958076,0.0052365223+0.1768178+0.085077226,680
0.32832968+-0.15250874+-0.48161423,0.27718547+0.020337898+-0.69657284,0.005241201+0.17682032+0.085079715,681
0.32832712+-0.15253505+-0.48159814,0.27718547+0.020337898+-0.69657284,0.005246279+0.17682128+0.08508278,682
0.3283212+-0.15256502+-0.48158017,0.2798687+0.02005621+-0.6972744,0.005251218+0.17682248+0.08508613,683
0.32831576+-0.1525974+-0.48156533,0.28166485+0.01983693+-0.6978763,0.00525537+0.17682412+0.085089,684
0.32825172+-0.15228382+-0.48165125,0.2826308+0.019686457+-0.69838995,0.0052613844+0.17682636+0.0850887,685
0.3282037+-0.1520462+-0.4817145,0.2830128+0.019593213+-0.6988443,0.0052693863+0.17682703+0.0850876,686
0.32818192+-0.15196952+-0.48173538,0.28306884+0.019536182+-0.6992679,0.0052435985+0.17682797+0.08512833,687
0.32817036+-0.15190406+-0.48170078,0.28306884+0.019536182+-0.6992679,0.0052454215+0.1768294+0.085139476,688
0.32816103+-0.15188545+-0.4816943,0.28299502+0.019493695+-0.69968015,0.005256475+0.17683057+0.08514057,689
0.32815003+-0.1518831+-0.4816958,0.28291196+0.019450445+-0.70009035,0.005267811+0.17683524+0.085138015,690
0.328136+-0.1518588+-0.48174798,0.28287414+0.019398615+-0.70050204,0.005275837+0.17684035+0.085133314,691
0.32813057+-0.15185556+-0.48178566,0.28288907+0.01933707+-0.70091736,0.005286169+0.17684409+0.08512779,692
0.32812986+-0.1518707+-0.4818049,0.28293985+0.019269286+-0.70133865,0.005296689+0.17684846+0.08512067,693
0.32813066+-0.15188694+-0.4818173,0.28293985+0.019269286+-0.70133865,0.005308424+0.17685421+0.08511486,694
0.32813066+-0.15188694+-0.4818173,0.2830074+0.019198665+-0.7017661,0.0053194603+0.17686103+0.08511174,695
0.3281337+-0.15193537+-0.48182946,0.28308108+0.019124722+-0.70219755,0.0053310976+0.17686786+0.08511031,696
0.32809913+-0.15192465+-0.48182508,0.28315547+0.019045739+-0.7026308,0.005341572+0.17687282+0.08510813,697
0.32807964+-0.15191238+-0.48182467,0.28488833+0.02008028+-0.6988875,0.0053513413+0.17687692+0.08510674,698
0.32807449+-0.15191543+-0.4818232,0.2866132+0.021251326+-0.69453037,0.0052962704+0.17689094+0.08516899,699
0.32808706+-0.15185559+-0.4817642,0.2866132+0.021251326+-0.69453037,0.0052789063+0.176899+0.08518965,700
0.32809415+-0.1518347+-0.48174724,0.28815076+0.022282641+-0.6907523,0.0052757137+0.17690405+0.08519654,701
