peerPosAR,peerPosNI,MyPos,Time
0.3264793+-0.14927816+-0.4858817,0.28295025+0.028824532+-0.68642366,0.0027276727+0.17468156+0.08152503,53
0.326324+-0.14941983+-0.4859374,0.28457505+0.030450279+-0.6867397,0.0027942462+0.17461716+0.08150349,54
0.32626703+-0.14948292+-0.48594975,0.28582376+0.0314873+-0.6869655,0.0028077392+0.17457886+0.08149925,55
0.3262439+-0.14948155+-0.4859602,0.2867115+0.0319626+-0.68710655,0.002768916+0.17455536+0.08147236,56
0.32622546+-0.14944297+-0.4859876,0.2867115+0.0319626+-0.68710655,0.0026655355+0.17454161+0.08144308,57
0.3262128+-0.14933853+-0.48601043,0.28732795+0.03207005+-0.6871895,0.002515996+0.17428946+0.081366576,58
0.32596081+-0.14918806+-0.48607737,0.2874295+0.031653605+-0.68720317,0.0024401008+0.17418277+0.08133509,59
0.32585284+-0.14911526+-0.48609903,0.28677112+0.030388085+-0.68708396,0.0024314756+0.174139+0.081271194,60
0.3258028+-0.14911257+-0.48614714,0.28582817+0.02866222+-0.68684334,0.0024531158+0.17411269+0.08122169,61
0.32577038+-0.14914478+-0.48618492,0.28515184+0.02712032+-0.68657094,0.0024684565+0.17407838+0.081259765,62
0.3257332+-0.14916724+-0.486136,0.28515184+0.02712032+-0.68657094,0.002483097+0.17403372+0.08135977,63
0.3257332+-0.14916724+-0.486136,0.28476065+0.026010394+-0.68636084,0.0025328873+0.17398924+0.08131623,64
0.3256426+-0.14923924+-0.48606527,0.28452933+0.025302708+-0.68623537,0.0025937383+0.17397517+0.08118045,65
0.32562065+-0.14931415+-0.48618898,0.28444958+0.024837071+-0.6861229,0.0026061705+0.17397608+0.08099051,66
0.32562065+-0.14931415+-0.48618898,0.28453043+0.024486953+-0.68596977,0.0025448957+0.17396237+0.080868475,67
0.32556698+-0.149245+-0.48654693,0.2847305+0.024211556+-0.6857836,0.0024274131+0.17394318+0.0808359,68
0.32554442+-0.14911845+-0.48659468,0.28411132+0.024796942+-0.6855897,0.0023134223+0.17393516+0.08083613,69
0.3255344+-0.14900245+-0.48659572,0.28244674+0.026451012+-0.68475974,0.0023189383+0.17406626+0.08103547,70
0.32567132+-0.14900292+-0.48639953,0.2801508+0.028844897+-0.68367964,0.0022777459+0.17410213+0.08120416,71
0.32571086+-0.14895871+-0.48622674,0.27816895+0.030976983+-0.68270737,0.0022178332+0.17410351+0.08135358,72
0.3256635+-0.14884907+-0.48610926,0.27668878+0.032504387+-0.6819874,0.0021544946+0.174108+0.0814066,73
0.325561+-0.14869162+-0.48612857,0.27556852+0.033450108+-0.68150586,0.0020795865+0.17411615+0.08131987,74
0.3255334+-0.14859481+-0.4862384,0.27556852+0.033450108+-0.68150586,0.0019971144+0.17413105+0.08110937,75
0.325535+-0.14851056+-0.48645997,0.27469423+0.033987235+-0.6811429,0.0021954505+0.17414856+0.080828644,76
0.3255408+-0.14871491+-0.48673153,0.27410278+0.034304842+-0.6807567,0.0022364734+0.17417242+0.08066112,77
0.3255629+-0.14875847+-0.48689944,0.27361286+0.03245295+-0.68213767,0.0022494292+0.17418322+0.08068822,78
0.32557493+-0.1487681+-0.4868645,0.27330253+0.030492406+-0.68358916,0.002282218+0.17418218+0.0808624,79
0.32558018+-0.14879394+-0.48668617,0.2730632+0.028765557+-0.68487996,0.002335445+0.1741921+0.081056,80
