TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
81546.451383333,1.7063931,-0.20524321,0.6358776,-1.5378425,-0.356594,0.8964773,-1.4074612,9.012685e-09,3.883723e-07,2.3780831e-07,1134.7728967666626,5953.97607421875,1
81546.468055333,1.7063931,-0.20524321,0.6358776,-1.5378425,-0.356594,0.8964773,-1.4074612,0.0,-2.3841858e-07,-2.3841858e-07,1134.7728967666626,5953.97607421875,1
81546.48472725,1.7063931,-0.20457414,0.63526654,-1.5383704,-0.356594,0.8964773,-1.4074612,-1.4901159e-08,-2.3841855e-07,-2.3841855e-07,1137.0443105697632,5953.97607421875,1
81546.50139925,1.7063931,-0.20451705,0.6352814,-1.5384154,-0.356594,0.8964773,-1.4074612,-1.4901161e-08,0.0,0.0,1136.5901231765747,5953.97607421875,1
81546.518071041,1.7063931,-0.20443648,0.6359284,-1.5380514,-0.356594,0.8964773,-1.4074612,0.0,0.0,2.3841858e-07,1136.5901231765747,5953.97607421875,1
81546.534743,1.7063931,-0.20558695,0.63638353,-1.5374612,-0.356594,0.8964773,-1.4074612,1.4901159e-08,0.0,0.0,1135.9360218048096,5953.97607421875,1
81546.551414833,1.7063931,-0.20684972,0.63700986,-1.5368401,-0.356594,0.8964773,-1.4074612,0.0,2.3841858e-07,0.0,1135.703444480896,5953.97607421875,1
81546.568086875,1.7089897,-0.20664085,0.6366488,-1.5370066,-0.34900206,0.89361256,-1.4143196,5.7994516e-09,8.83507e-08,-2.3802542e-07,1135.5173587799072,5953.97607421875,1
81546.584758791,1.7089897,-0.20527807,0.6360089,-1.5375812,-0.34900206,0.89361256,-1.4143196,-4.645104e-09,4.4192703e-08,-1.189684e-07,1135.3684663772583,5953.97607421875,1
81546.601430708,1.7089897,-0.20395721,0.63577175,-1.537965,-0.34900206,0.89361256,-1.4143196,1.4901161e-08,2.3841858e-07,0.0,1135.249376296997,5953.97607421875,1
81546.618102666,1.7089897,-0.20357959,0.63579,-1.5379864,-0.34900206,0.89361256,-1.4143196,-5.8552665e-09,1.5012216e-07,2.3814985e-07,1135.249376296997,5953.97607421875,1
81546.634774625,1.7089897,-0.20465422,0.6362398,-1.5375137,-0.34900206,0.89361256,-1.4143196,0.0,0.0,2.3841855e-07,1135.077953338623,5953.97607421875,1
81546.651446416,1.7089897,-0.20595367,0.6365687,-1.5369726,-0.34900206,0.89361256,-1.4143196,1.4901161e-08,2.3841858e-07,0.0,1135.0170373916626,5953.97607421875,1
81546.668118416,1.7089897,-0.20660286,0.63653886,-1.5367194,-0.34900206,0.89361256,-1.4143196,0.0,2.3841858e-07,2.3841858e-07,1134.9682807922363,5953.97607421875,1
81546.68479025,1.7089897,-0.20666811,0.63605356,-1.5368257,-0.34900206,0.89361256,-1.4143196,1.4901163e-08,0.0,0.0,1134.9292993545532,5953.97607421875,1
81546.701462375,1.7069043,-0.20632201,0.6357751,-1.5369568,-0.36161113,0.88163,-1.4161526,0.0,-2.3841858e-07,0.0,1134.898066520691,5953.97607421875,1
81546.718134041,1.7069043,-0.20579693,0.63590884,-1.536995,-0.36161113,0.88163,-1.4161526,0.0,2.3841858e-07,-2.3841858e-07,1134.898066520691,5953.97607421875,1
81546.734806166,1.7069043,-0.20546328,0.63664484,-1.536943,-0.36161113,0.88163,-1.4161526,-1.4901159e-08,0.0,0.0,1134.8530054092407,5953.97607421875,1
81546.751477875,1.7069043,-0.20585284,0.636807,-1.5368602,-0.36161113,0.88163,-1.4161526,-4.388959e-09,-1.94317e-07,-3.5759317e-07,1134.837031364441,5953.97607421875,1
81546.768149958,1.7069043,-0.206354,0.6369217,-1.5367459,-0.36161113,0.88163,-1.4161526,0.0,2.3841858e-07,0.0,1134.824275970459,5953.97607421875,1
81546.784821791,1.7069043,-0.20615986,0.63689566,-1.5368192,-0.36161113,0.88163,-1.4161526,1.4901163e-08,2.384186e-07,0.0,1134.8140239715576,5953.97607421875,1
81546.801493833,1.7069043,-0.20530081,0.63698107,-1.5369675,-0.36161113,0.88163,-1.4161526,1.4901161e-08,-2.3841858e-07,2.3841858e-07,1134.8057985305786,5953.97607421875,1
81546.818165708,1.7069043,-0.20458062,0.6370785,-1.5370758,-0.36161113,0.88163,-1.4161526,1.4901161e-08,0.0,-2.3841858e-07,1134.8057985305786,5953.97607421875,1
81546.834837666,1.7069043,-0.20493218,0.6370323,-1.5370239,-0.36161113,0.88163,-1.4161526,1.4901161e-08,0.0,2.3841858e-07,1134.793996810913,5953.97607421875,1
81546.851509583,1.7069043,-0.2059369,0.637028,-1.5368129,-0.36161113,0.88163,-1.4161526,-1.9297929e-08,-1.9432157e-07,-3.575732e-07,1134.7898244857788,5953.97607421875,1
81546.8681815,1.7069043,-0.20647213,0.6370082,-1.5366553,-0.36161113,0.88163,-1.4161526,-1.4901161e-08,4.7683716e-07,-2.3841858e-07,1134.7864866256714,5953.97607421875,1
81546.884853416,1.7069043,-0.20648016,0.6372781,-1.536433,-0.36161113,0.88163,-1.4161526,-1.9202329e-08,4.4073104e-08,1.19199534e-07,1134.7838640213013,5953.97607421875,1
81546.90152525,1.7069043,-0.20712969,0.6372574,-1.5361979,-0.36161113,0.88163,-1.4161526,0.0,0.0,0.0,1134.7817182540894,5953.97607421875,1
81546.918197125,1.7069043,-0.20848565,0.63790995,-1.5356,-0.36161113,0.88163,-1.4161526,-1.4901161e-08,2.3841858e-07,0.0,1134.7817182540894,5953.97607421875,1
81546.934869166,1.7069043,-0.20814845,0.63759136,-1.5358541,-0.36161113,0.88163,-1.4161526,8.665304e-09,-3.2651874e-07,1.1928053e-07,1134.778618812561,5953.97607421875,1
81546.951541,1.7069043,-0.20628747,0.6374957,-1.5362983,-0.36161113,0.88163,-1.4161526,0.0,2.3841858e-07,1.1920929e-07,1134.777545928955,5953.97607421875,1
81546.968212958,1.7069043,-0.20503683,0.63753724,-1.5365381,-0.36161113,0.88163,-1.4161526,-1.4901161e-08,-2.3841858e-07,-2.3841858e-07,1132.5089931488037,5953.97607421875,1
81546.984884833,1.7069043,-0.20623668,0.6374507,-1.5363262,-0.36161113,0.88163,-1.4161526,-1.9168795e-08,-1.9440628e-07,-3.5769486e-07,1130.6941509246826,5953.97607421875,1
81547.001556791,1.7107476,-0.20843595,0.6381223,-1.5355632,-0.34856045,0.903083,-1.4105333,1.0641596e-08,-1.9441376e-07,1.19141674e-07,1129.242181777954,5953.97607421875,1
81547.018228708,1.7107476,-0.20900081,0.63826776,-1.5353564,-0.34856045,0.903083,-1.4105333,0.0,0.0,1.1920929e-07,1129.242181777954,5953.97607421875,1
81547.034900708,1.7107476,-0.20900081,0.63826776,-1.5353564,-0.34856045,0.903083,-1.4105333,1.4901163e-08,2.384186e-07,-1.192093e-07,1127.151370048523,5953.97607421875,1
81547.051572541,1.7107476,-0.20679584,0.6381405,-1.535464,-0.34856045,0.903083,-1.4105333,-1.9436959e-08,4.3983903e-08,-2.384851e-07,1126.4079809188843,5953.97607421875,1
81547.068244583,1.7107476,-0.20610802,0.6385667,-1.5354334,-0.34856045,0.903083,-1.4105333,0.0,-2.3841855e-07,-1.19209275e-07,1125.8132457733154,5953.97607421875,1
81547.084916458,1.7107476,-0.20531917,0.6385376,-1.5355786,-0.34856045,0.903083,-1.4105333,9.1905665e-09,-3.2641438e-07,1.1923225e-07,1125.3374814987183,5953.97607421875,1
81547.101588375,1.7107476,-0.20623676,0.6384697,-1.5354131,-0.34856045,0.903083,-1.4105333,-1.4901161e-08,0.0,-1.1920929e-07,1124.9568462371826,5953.97607421875,1
81547.118260208,1.7107476,-0.20665617,0.63870716,-1.5351027,-0.34856045,0.903083,-1.4105333,0.0,0.0,0.0,1124.9568462371826,5953.97607421875,1
81547.134932333,1.7107476,-0.20742127,0.63872564,-1.5349965,-0.34856045,0.903083,-1.4105333,0.0,0.0,0.0,1124.4088411331177,5953.97607421875,1
81547.151604083,1.7107476,-0.20786685,0.6379791,-1.5351878,-0.34856045,0.903083,-1.4105333,0.0,-2.3841858e-07,-1.1920929e-07,1124.2139339447021,5953.97607421875,1
81547.168276125,1.7158482,-0.20870478,0.6392176,-1.5344741,-0.2934945,0.90392077,-1.4286089,0.0,0.0,0.0,1124.0580081939697,5953.97607421875,1
81547.184947958,1.7158482,-0.20728223,0.6379757,-1.5352523,-0.2934945,0.90392077,-1.4286089,-4.590068e-09,-1.9454549e-07,-1.1951991e-07,1123.9333152770996,5953.97607421875,1
81547.201619958,1.7158482,-0.20419054,0.63991934,-1.5349154,-0.2934945,0.90392077,-1.4286089,1.4901159e-08,2.3841855e-07,1.19209275e-07,1121.5697526931763,5953.97607421875,1
81547.218291791,1.7158482,-0.20521107,0.6375448,-1.5356311,-0.2934945,0.90392077,-1.4286089,0.0,2.3841855e-07,-1.19209275e-07,1121.5697526931763,5953.97607421875,1
81547.23496375,1.7158482,-0.20970535,0.63935536,-1.5341023,-0.2934945,0.90392077,-1.4286089,0.0,2.3841858e-07,2.3841858e-07,1114.0981912612915,5953.97607421875,1
81547.251635625,1.7158482,-0.20970535,0.63935536,-1.5341023,-0.2934945,0.90392077,-1.4286089,0.0,2.3841858e-07,0.0,1111.4416122436523,5953.97607421875,1
81547.268307625,1.7158482,-0.2084145,0.6385474,-1.5345227,-0.2934945,0.90392077,-1.4286089,0.0,0.0,-2.384186e-07,1111.5764379501343,5953.97607421875,1
81547.284979375,1.7158482,-0.20944929,0.6376489,-1.5347607,-0.2934945,0.90392077,-1.4286089,1.4901159e-08,0.0,1.19209275e-07,1111.6843223571777,5953.97607421875,1
81547.301651375,1.7164401,-0.20913745,0.63870996,-1.5344366,-0.25149745,0.9422703,-1.4124596,0.0,-2.3841855e-07,0.0,1109.5105409622192,5953.97607421875,1
81547.31832325,1.7164401,-0.20529523,0.6378593,-1.5354674,-0.25149745,0.9422703,-1.4124596,1.0290077e-08,4.400559e-08,-7.1317174e-11,1109.5105409622192,5953.97607421875,1
81547.334995208,1.7164401,-0.2051312,0.63864726,-1.5352305,-0.25149745,0.9422703,-1.4124596,0.0,2.384186e-07,2.384186e-07,1102.3192405700684,5953.97607421875,1
