TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
189307.040358708,1.8264058,-0.0056611504,-0.07480888,-1.8167865,-0.018708227,-0.048253696,-1.8256724,-2.9802322e-08,-5.5879354e-08,0.0,1028.1221866607666,5938.345703125,3
189307.057030541,1.8126643,-0.0029083192,-0.07532966,-1.8170233,-0.01799493,-0.046764776,-1.8119717,9.450717e-09,-1.34551135e-08,-4.2147068e-08,1028.5429954528809,5938.345703125,3
189307.073702416,1.8126643,0.0010234416,-0.075191766,-1.8174578,-0.01799493,-0.046764776,-1.8119717,-2.0493868e-08,8.862067e-09,-1.6137218e-07,1028.5429954528809,5938.345703125,3
189307.090374375,1.8126643,0.0043591447,-0.07426777,-1.8178871,-0.01799493,-0.046764776,-1.8119717,9.097328e-09,-7.314306e-08,-4.2207592e-08,1027.6682376861572,5938.345703125,3
189307.107046083,1.8126643,0.009385983,-0.07315217,-1.818151,-0.01799493,-0.046764776,-1.8119717,0.0,1.1175871e-08,0.0,1026.4084339141846,5938.345703125,3
189307.123718083,1.8126643,0.010722131,-0.07207599,-1.8180653,-0.01799493,-0.046764776,-1.8119717,-5.0219132e-08,-7.692359e-08,-4.21817e-08,1025.9605646133423,5938.345703125,3
189307.140389875,1.8126643,0.0026722348,-0.07213905,-1.8174039,-0.01799493,-0.046764776,-1.8119717,-2.9802322e-08,2.9802322e-08,-1.1920929e-07,1025.6022214889526,5938.345703125,3
189307.157061791,1.8126643,-0.006664416,-0.07269061,-1.8167194,-0.01799493,-0.046764776,-1.8119717,-2.0022467e-08,-3.5931e-08,-1.6133689e-07,1025.315523147583,5938.345703125,3
189307.173733625,1.8126643,-0.0066177538,-0.07264227,-1.8165343,-0.01799493,-0.046764776,-1.8119717,2.9802322e-08,-3.3527613e-08,0.0,1025.315523147583,5938.345703125,3
189307.190405458,1.8126643,-0.0017541945,-0.07316557,-1.81674,-0.01799493,-0.046764776,-1.8119717,3.9285506e-08,9.077165e-08,-4.2167354e-08,1026.2975692749023,5938.345703125,3
189307.207077416,1.8126643,-0.0017541945,-0.07316557,-1.81674,-0.01799493,-0.046764776,-1.8119717,2.9802322e-08,8.568168e-08,-1.1920929e-07,1027.7118682861328,5938.345703125,3
189307.22374925,1.8126643,0.0037951171,-0.073206656,-1.8175161,-0.01799493,-0.046764776,-1.8119717,9.053991e-09,6.469477e-08,7.697565e-08,1027.003288269043,5938.345703125,3
189307.240421166,1.8126643,0.0037951171,-0.073206656,-1.8175161,-0.01799493,-0.046764776,-1.8119717,9.043021e-09,4.976147e-08,-1.6145013e-07,1026.436448097229,5938.345703125,3
189307.257093125,1.8126643,0.0037951171,-0.073206656,-1.8175161,-0.01799493,-0.046764776,-1.8119717,-2.9802319e-08,-2.9802319e-08,0.0,1025.9829759597778,5938.345703125,3
189307.273764916,1.8126643,0.0030147727,-0.072776206,-1.8174098,-0.01799493,-0.046764776,-1.8119717,-2.9802322e-08,-8.940697e-08,0.0,1025.9829759597778,5938.345703125,3
189307.290436833,1.8126643,-0.0024730563,-0.07274319,-1.8169065,-0.01799493,-0.046764776,-1.8119717,-2.0185178e-08,-1.3544201e-08,-4.2161588e-08,1025.6202220916748,5938.345703125,3
189307.307108708,1.8126643,-0.0027744768,-0.07339121,-1.816628,-0.01799493,-0.046764776,-1.8119717,9.646504e-09,2.3728322e-08,-4.2154966e-08,1025.0977277755737,5938.345703125,3
189307.3237805,1.8126643,-0.0034986134,-0.07376251,-1.8165847,-0.01799493,-0.046764776,-1.8119717,-2.9802322e-08,-7.4505806e-08,0.0,1026.1234045028687,5938.345703125,3
189307.340452375,1.8126643,-0.0029903948,-0.073797405,-1.8168826,-0.01799493,-0.046764776,-1.8119717,9.353417e-09,9.450895e-08,-4.218362e-08,1026.9439220428467,5938.345703125,3
189307.35712425,1.8171672,0.0033939183,-0.073612794,-1.8174288,-0.02366054,-0.05392691,-1.8162128,2.9802319e-08,-6.332993e-08,1.19209275e-07,1026.3888835906982,5938.345703125,3
189307.373796125,1.8171672,0.009794015,-0.072953686,-1.8179034,-0.02366054,-0.05392691,-1.8162128,-1.8252964e-08,-2.130137e-08,-3.477815e-08,1026.3888835906982,5938.345703125,3
189307.390468166,1.8171672,0.008817077,-0.07273148,-1.8179772,-0.02366054,-0.05392691,-1.8162128,-2.9802322e-08,-7.450581e-09,1.1920929e-07,1025.9449481964111,5938.345703125,3
189307.407139791,1.8171672,0.004522393,-0.07248108,-1.8177215,-0.02366054,-0.05392691,-1.8162128,3.921616e-08,-1.3558171e-08,7.703313e-08,1025.3055095672607,5938.345703125,3
189307.423811791,1.8171672,0.002073079,-0.073006324,-1.8173392,-0.02366054,-0.05392691,-1.8162128,3.935632e-08,-2.3557314e-09,-4.217163e-08,1025.0781774520874,5938.345703125,3
189307.440483541,1.8171672,-0.0012156069,-0.073598795,-1.8167732,-0.02366054,-0.05392691,-1.8162128,9.722551e-09,1.629531e-08,-4.21426e-08,1024.8963832855225,5938.345703125,3
189307.457155583,1.8171672,-0.00521031,-0.0741331,-1.816469,-0.02366054,-0.05392691,-1.8162128,-2.9802326e-08,-6.332994e-08,0.0,1025.9623527526855,5938.345703125,3
189307.473827375,1.8171672,-0.0036981707,-0.07423104,-1.816597,-0.02366054,-0.05392691,-1.8162128,2.9802322e-08,5.2154064e-08,0.0,1025.9623527526855,5938.345703125,3
189307.49049925,1.8171672,0.002774179,-0.07378278,-1.8170593,-0.02366054,-0.05392691,-1.8162128,3.9022243e-08,-9.809717e-09,-4.2221e-08,1025.6036520004272,5938.345703125,3
189307.507171041,1.8134178,0.0066617727,-0.073379755,-1.8174634,-0.04186247,-0.06345819,-1.8118237,0.0,-6.7055225e-08,1.1920929e-07,1025.0871181488037,5938.345703125,3
189307.523843041,1.8134178,0.0067107775,-0.0728881,-1.817629,-0.04186247,-0.06345819,-1.8118237,2.9802322e-08,-1.8626451e-08,0.0,1023.6750841140747,5938.345703125,3
189307.540514916,1.8134178,0.006308724,-0.07283984,-1.8173733,-0.04186247,-0.06345819,-1.8118237,0.0,8.568167e-08,0.0,1022.5454568862915,5938.345703125,3
189307.557186833,1.8134178,0.004292011,-0.07306829,-1.8169974,-0.04186247,-0.06345819,-1.8118237,0.0,-5.2154057e-08,0.0,1022.8701829910278,5938.345703125,3
189307.573858583,1.8134178,-0.0013268697,-0.07360903,-1.8165021,-0.04186247,-0.06345819,-1.8118237,2.9802322e-08,-9.313226e-08,0.0,1022.8701829910278,5938.345703125,3
189307.590530541,1.8134178,-0.0051907003,-0.073941976,-1.8161607,-0.04186247,-0.06345819,-1.8118237,9.637101e-09,5.7269414e-08,-1.6139082e-07,1023.129940032959,5938.345703125,3
189307.607202333,1.8134178,-0.0031982362,-0.07391615,-1.8162029,-0.04186247,-0.06345819,-1.8118237,3.927642e-08,1.3765914e-09,-4.2208928e-08,1023.5040187835693,5938.345703125,3
189307.623874375,1.8134178,0.0006733537,-0.073584445,-1.81648,-0.04186247,-0.06345819,-1.8118237,9.362694e-09,-6.1975925e-08,-4.2220798e-08,1024.848461151123,5938.345703125,3
189307.640546208,1.8134178,0.003329346,-0.07307066,-1.8168081,-0.04186247,-0.06345819,-1.8118237,0.0,-2.9802322e-08,-1.1920929e-07,1025.9239673614502,5938.345703125,3
189307.657218,1.8177586,0.0061007338,-0.072906785,-1.8170465,-0.039219078,-0.06725726,-1.8160905,3.8958785e-08,7.5855574e-08,-4.2258865e-08,1025.5730152130127,5938.345703125,3
189307.673889833,1.8177586,0.00820592,-0.07288792,-1.8170815,-0.039219078,-0.06725726,-1.8160905,0.0,-3.7252903e-09,1.1920929e-07,1025.5730152130127,5938.345703125,3
189307.690561833,1.8177586,0.0055071115,-0.07335745,-1.816813,-0.039219078,-0.06725726,-1.8160905,9.498154e-09,6.472108e-08,-1.6141452e-07,1025.292158126831,5938.345703125,3
189307.707233666,1.8177586,8.559227e-05,-0.07382445,-1.8163712,-0.039219078,-0.06725726,-1.8160905,-2.9802322e-08,4.0978193e-08,0.0,1024.8878002166748,5938.345703125,3
189307.723905541,1.8177586,-0.0023745596,-0.07414676,-1.816047,-0.039219078,-0.06725726,-1.8160905,0.0,8.1956394e-08,0.0,1024.7440338134766,5938.345703125,3
189307.740577416,1.8177586,-0.001881173,-0.07400254,-1.8160195,-0.039219078,-0.06725726,-1.8160905,9.54833e-09,4.980455e-08,7.7003975e-08,1024.62899684906,5938.345703125,3
189307.757249375,1.8177586,-0.0009963213,-0.07355971,-1.8161821,-0.039219078,-0.06725726,-1.8160905,0.0,8.568168e-08,1.1920929e-07,1025.748372077942,5938.345703125,3
189307.773921083,1.8177586,0.0014077533,-0.07321209,-1.8164859,-0.039219078,-0.06725726,-1.8160905,-5.9604645e-08,-7.450581e-09,0.0,1025.748372077942,5938.345703125,3
189307.790592958,1.8177586,0.0058838725,-0.07302724,-1.8168151,-0.039219078,-0.06725726,-1.8160905,9.177201e-09,-1.7258913e-08,-1.6146885e-07,1026.6438722610474,5938.345703125,3
189307.807265,1.8214121,0.0077867797,-0.073217705,-1.816936,-0.05697885,-0.06921054,-1.8192047,5.9604645e-08,6.3329935e-08,0.0,1025.7529020309448,5938.345703125,3
189307.823936833,1.8214121,0.005166143,-0.07357821,-1.8167746,-0.05697885,-0.06921054,-1.8192047,9.43594e-09,1.3914112e-09,-4.222207e-08,1025.4361629486084,5938.345703125,3
189307.840608625,1.8214121,0.0016222594,-0.073637344,-1.8163617,-0.05697885,-0.06921054,-1.8192047,-2.9802322e-08,4.4703484e-08,1.1920929e-07,1025.1827239990234,5938.345703125,3
189307.857280458,1.8214121,-0.00033932924,-0.07366297,-1.8160453,-0.05697885,-0.06921054,-1.8192047,3.9398994e-08,4.9812737e-08,-4.2208665e-08,1024.9799489974976,5938.345703125,3
189307.873952375,1.8214121,-0.002136748,-0.073549725,-1.8158674,-0.05697885,-0.06921054,-1.8192047,3.9420385e-08,-6.195897e-08,-4.2202153e-08,1024.9799489974976,5938.345703125,3
189307.890624375,1.8214121,-0.0026290917,-0.07329901,-1.815923,-0.05697885,-0.06921054,-1.8192047,3.9285844e-08,4.2338858e-08,-4.2223544e-08,1024.817705154419,5938.345703125,3
189307.907296166,1.8214121,0.00055677653,-0.073042855,-1.8161888,-0.05697885,-0.06921054,-1.8192047,4.841069e-08,-8.452251e-09,-8.4505686e-08,1024.584174156189,5938.345703125,3
189307.923968125,1.8214121,0.004781216,-0.072985664,-1.8164968,-0.05697885,-0.06921054,-1.8192047,-2.9802322e-08,1.1175871e-08,0.0,1024.501085281372,5938.345703125,3
189307.940639875,1.8227395,0.005996843,-0.072937116,-1.8167619,-0.07435901,-0.075185865,-1.8196695,0.0,2.235174e-08,0.0,1024.4346857070923,5938.345703125,3
189307.957311875,1.8227395,0.004978716,-0.07313443,-1.8167405,-0.07435901,-0.075185865,-1.8196695,0.0,1.1175871e-08,1.1920929e-07,1024.3815183639526,5938.345703125,3
189307.973983583,1.8227395,0.0037057698,-0.07328911,-1.8165572,-0.07435901,-0.075185865,-1.8196695,0.0,-1.4901161e-08,0.0,1024.3815183639526,5938.345703125,3
189307.990655625,1.8227395,0.0012166798,-0.07341494,-1.8163238,-0.07435901,-0.075185865,-1.8196695,-2.9802319e-08,-1.862645e-08,1.19209275e-07,1024.338960647583,5938.345703125,3
