TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
119677.999335375,0.8134227,-0.35217202,-0.64094925,0.24010773,-0.6754442,-0.45205006,-0.03289913,-1.4743157e-10,-2.155115e-10,1.0153381e-10,998.5984563827515,5753.06396484375,3
119678.016006916,0.8134227,-0.35217202,-0.64094925,0.24010773,-0.6754442,-0.45205006,-0.03289913,0.0,-9.313227e-10,0.0,998.8787770271301,5753.06396484375,3
119678.032678625,0.8134227,-0.3504897,-0.64112556,0.24347539,-0.6754442,-0.45205006,-0.03289913,-1.8626451e-09,0.0,0.0,999.1030097007751,5753.06396484375,3
119678.049350375,0.8134227,-0.35083088,-0.64159065,0.2425029,-0.6754442,-0.45205006,-0.03289913,2.667232e-10,-1.467423e-09,-6.555949e-11,999.2824196815491,5753.06396484375,3
119678.066021875,0.8134227,-0.35235244,-0.6422194,0.2398251,-0.6754442,-0.45205006,-0.03289913,-1.0558677e-09,7.406344e-10,1.7859441e-11,999.4259476661682,5753.06396484375,3
119678.082693625,0.8134227,-0.35360837,-0.6426017,0.23747239,-0.6754442,-0.45205006,-0.03289913,0.0,9.313226e-10,0.0,999.5407462120056,5753.06396484375,3
119678.09936525,0.8134227,-0.35379702,-0.6427084,0.23728763,-0.6754442,-0.45205006,-0.03289913,-9.313226e-10,0.0,0.0,999.6325969696045,5753.06396484375,3
119678.116036916,0.8134227,-0.35379702,-0.6427084,0.23728763,-0.6754442,-0.45205006,-0.03289913,-1.0526452e-09,-1.9522002e-10,6.3385e-11,999.7060894966125,5753.06396484375,3
119678.132708375,0.8134227,-0.35340202,-0.6425346,0.23919715,-0.6754442,-0.45205006,-0.03289913,0.0,0.0,0.0,999.7648596763611,5753.06396484375,3
119678.149380041,0.8134227,-0.35244393,-0.6424562,0.24154373,-0.6754442,-0.45205006,-0.03289913,9.313226e-10,-9.313226e-10,-2.3283064e-10,999.8118877410889,5753.06396484375,3
119678.166051666,0.8134227,-0.3514899,-0.6426145,0.24365193,-0.6754442,-0.45205006,-0.03289913,8.15454e-10,-1.1091339e-09,1.0583551e-10,999.8494982719421,5753.06396484375,3
