169760.475729,-0.011231,0.054512,-0.024048,0.008961,-0.999945,0.005404,-0.016392,-0.004434,0.009259,188.625870
169760.485735,-0.030844,0.019537,-0.027205,0.009227,-0.999944,0.005156,0.006673,-0.018199,0.046358,188.621521
169760.495741,-0.000711,0.049062,-0.015200,0.009437,-0.999943,0.005002,0.012871,0.000050,0.048877,188.615540
169760.505747,-0.020753,0.018146,-0.009842,0.009542,-0.999942,0.004962,0.029474,0.020465,0.036160,188.599792
169760.515753,-0.113796,-0.026264,-0.003798,0.009617,-0.999945,0.004304,0.026485,0.000128,0.052611,188.608536
169760.525759,-0.170983,0.025494,0.013438,0.009551,-0.999950,0.002818,0.019731,-0.019947,0.072590,188.604172
169760.535766,-0.118972,-0.003446,0.005393,0.009447,-0.999955,0.001296,0.020827,-0.017593,0.029848,188.587799
169760.545772,-0.020441,-0.017103,0.013652,0.009352,-0.999956,0.000603,0.008562,0.020464,-0.030358,188.590912
169760.555778,0.011329,0.010959,0.013578,0.009191,-0.999958,0.000603,0.010646,0.026981,-0.074928,188.582077
169760.565784,-0.008157,-0.012113,0.001307,0.009128,-0.999958,0.000617,-0.000812,0.009983,-0.067481,188.578568
169760.575790,0.015220,-0.007211,0.007379,0.009072,-0.999959,0.000615,-0.019311,-0.012447,-0.047154,188.583237
169760.585796,0.100735,-0.000762,-0.006167,0.009048,-0.999958,0.001195,-0.011108,0.006550,-0.059590,188.584259
169760.595802,0.152978,0.008172,-0.017806,0.009192,-0.999954,0.002523,-0.024787,0.024063,-0.071569,188.593063
169760.605808,0.115426,0.005700,-0.007396,0.009323,-0.999949,0.003934,-0.022003,0.017939,-0.039564,188.595734
169760.615814,0.037691,-0.007753,-0.016645,0.009454,-0.999944,0.004695,-0.002633,-0.009699,0.020101,188.604828
169760.625820,0.015842,0.015441,-0.008209,0.009594,-0.999942,0.004917,-0.003902,-0.020261,0.060253,188.611160
169760.635826,0.029249,0.001681,-0.003036,0.009618,-0.999941,0.005145,0.011531,0.000093,0.052930,188.606247
169760.645832,-0.006289,-0.008764,-0.001583,0.009642,-0.999940,0.005285,0.018480,0.013199,0.048869,188.612732
