peerPosAR,peerPosNI,MyPos,Time
0.38398746+0.22799714+-0.3243298,0.35938895+0.060473043+-0.7343872,-0.501998+0.029544523+0.34241232,0.81984264,214
0.38400447+0.22799593+-0.32434526,0.35938895+0.060473043+-0.7343872,-0.50200284+0.029545596+0.3424292,0.81984264,215
0.38402188+0.22800538+-0.3243575,0.35986063+0.060641836+-0.7345264,-0.50200677+0.02954928+0.34244138,0.8201866,216
0.3840261+0.22801955+-0.32436442,0.36033705+0.060809873+-0.7346873,-0.50198627+0.02955911+0.34248716,0.8205523,217
0.3840611+0.22799903+-0.3244115,0.36080438+0.060975473+-0.7348685,-0.5019787+0.02956497+0.34248972,0.8209321,218
0.3840589+0.22799942+-0.3244156,0.36126104+0.061140284+-0.735063,-0.5019711+0.029571062+0.3424752,0.8213192,219
0.38406017+0.2279849+-0.3244214,0.36171857+0.06130587+-0.7352596,-0.5019606+0.029577157+0.34245822,0.82170886,220
0.38405022+0.22798567+-0.32440072,0.36155927+0.061209302+-0.73445386,-0.50194913+0.029583244+0.3424456,0.8209105,221
0.38400105+0.22797412+-0.32441193,0.36152607+0.06106859+-0.73207563,-0.5019362+0.029588353+0.3424433,0.81875837,222
0.3839819+0.22796577+-0.32441545,0.36133394+0.060818598+-0.7287416,-0.5019161+0.02961603+0.34247443,0.8156748,223
0.38398492+0.22794446+-0.3244652,0.36124718+0.060625598+-0.7258183,-0.501906+0.029627718+0.34249145,0.8130111,224
0.3840037+0.22792655+-0.3244849,0.36133707+0.060541354+-0.7237637,-0.5019001+0.02963484+0.34249997,0.8112112,225
0.3840077+0.22791676+-0.32450122,0.36158067+0.060552474+-0.72253567,-0.5018941+0.029639447+0.34249967,0.81022525,226
0.38400763+0.22791603+-0.32449126,0.36158067+0.060552474+-0.72253567,-0.50188375+0.029642247+0.342493,0.81022525,227
0.3839718+0.22787142+-0.32452825,0.36192495+0.060626227+-0.7218946,-0.50187075+0.029641783+0.3424822,0.809813,228
0.3839608+0.22784582+-0.32452607,0.36231878+0.060737647+-0.721584,-0.50185233+0.029644901+0.34246403,0.80972064,229
0.3839608+0.22784582+-0.32452607,0.36039832+0.05977849+-0.72011244,-0.50183415+0.029644018+0.34245682,0.807479,230
0.3839608+0.22784582+-0.32452607,0.3579496+0.058635656+-0.7187662,-0.50182045+0.029641345+0.342462,0.80510306,231
0.3839597+0.2277705+-0.3245343,0.35583445+0.05763685+-0.7175295,-0.50181466+0.029636428+0.34247524,0.80298734,232
0.38397986+0.2277614+-0.32453886,0.35583445+0.05763685+-0.7175295,-0.5018122+0.029630572+0.3424884,0.80298734,233
0.38399014+0.22776416+-0.32454205,0.35441506+0.056941275+-0.7165384,-0.50184906+0.02963224+0.34248358,0.8014235,234
0.38398966+0.22779517+-0.32455406,0.35364577+0.05653141+-0.7157869,-0.50186807+0.029626112+0.3424793,0.8003824,235
0.3840147+0.22780222+-0.324548,0.35332873+0.05632467+-0.7152092,-0.50187576+0.029618936+0.34247336,0.7997111,236
0.38402128+0.22780058+-0.32455575,0.35326067+0.05623659+-0.71473104,-0.5018751+0.029610377+0.34246796,0.7992472,237
0.38403893+0.22779408+-0.3245502,0.35329026+0.05620359+-0.71429443,-0.5018713+0.029601425+0.3424672,0.7988676,238
0.3840572+0.22778791+-0.32454437,0.35314456+0.056209154+-0.7153711,-0.5018643+0.02959236+0.34247583,0.79976636,239
0.38407367+0.22777843+-0.32455447,0.35271755+0.05620637+-0.71837515,-0.5018538+0.029600542+0.342475,0.8022666,240
0.38407832+0.2277695+-0.32455814,0.35208547+0.05619595+-0.72264427,-0.5018451+0.029597878+0.34249234,0.80581445,241
0.38410544+0.22775427+-0.32457995,0.35148436+0.05615758+-0.72635806,-0.50184184+0.029591478+0.3425123,0.80888253,242
0.3841389+0.22774927+-0.3245884,0.35099733+0.056090035+-0.7289177,-0.5018453+0.029582882+0.34252664,0.81096625,243
0.38418192+0.22775304+-0.3245714,0.35062408+0.056002144+-0.73038924,-0.50185037+0.029574495+0.34253442,0.81212187,244
0.38419342+0.22776109+-0.32457268,0.35062408+0.056002144+-0.73038924,-0.50185573+0.029566927+0.34253734,0.81212187,245
0.38420695+0.22776595+-0.32456738,0.35033202+0.05590853+-0.73109394,-0.5018344+0.029570535+0.3424976,0.81262326,246
0.38417646+0.22774631+-0.32454544,0.3500859+0.055820946+-0.73137087,-0.50182235+0.029567894+0.3424847,0.8127604,247
0.38416076+0.22773856+-0.32453862,0.35196558+0.05648355+-0.7306931,-0.5018114+0.029561728+0.34248704,0.81300837,248
0.38417673+0.22772554+-0.32453206,0.35416856+0.057263903+-0.72990733,-0.50180364+0.029553985+0.3425006,0.8133137,249
0.38420647+0.22771946+-0.3245222,0.3560959+0.057948977+-0.72927636,-0.5018022+0.02954579+0.34251744,0.8136378,250
0.38414034+0.22774743+-0.3245347,0.3560959+0.057948977+-0.72927636,-0.5018063+0.029537398+0.34253317,0.8136378,251
0.3841169+0.22775719+-0.3245524,0.35744342+0.058427047+-0.72891366,-0.5018213+0.029582113+0.3424906,0.8139377,252
0.38405335+0.22776842+-0.32456458,0.3582416+0.058704022+-0.72879386,-0.50183547+0.029597431+0.34247416,0.81420124,253
0.38402498+0.22779042+-0.32455358,0.35865134+0.058836304+-0.728841,-0.50184757+0.02960153+0.34246415,0.8144334,254
0.38401377+0.2278029+-0.32454678,0.35884157+0.058889557+-0.7289798,-0.5018545+0.029601403+0.3424552,0.8146452,255
0.3839963+0.22781539+-0.3245359,0.35893932+0.05891722+-0.7291547,-0.5018536+0.029598877+0.34244913,0.81484675,256
0.38395736+0.22782019+-0.32452548,0.35877275+0.058773138+-0.7290707,-0.5018475+0.029596873+0.34244812,0.81468785,257
0.38395128+0.227806+-0.32453197,0.3583251+0.058346+-0.7289804,-0.50179535+0.02959696+0.34240848,0.8143792,258
0.3839211+0.22774464+-0.32451898,0.35770333+0.057760317+-0.7287782,-0.50177604+0.029597258+0.34239814,0.813883,259
0.38391867+0.22771852+-0.32451499,0.35719806+0.057254374+-0.72860277,-0.5017687+0.029596955+0.3423947,0.8134682,260
0.383917+0.22770813+-0.32451758,0.35689783+0.056903336+-0.7285044,-0.50176656+0.029594427+0.34239075,0.81322366,261
0.3839081+0.22770838+-0.32451364,0.35678214+0.056697942+-0.7284837,-0.50176615+0.02959211+0.3423825,0.81314,262
0.38389462+0.22770716+-0.3245137,0.35678214+0.056697942+-0.7284837,-0.50176334+0.029589435+0.3423707,0.81314,263
0.3839001+0.22769496+-0.32450694,0.35679263+0.056596104+-0.72852,-0.5017516+0.02957606+0.34233242,0.81316996,264
0.38387206+0.22768225+-0.32447422,0.3568704+0.056552768+-0.72858953,-0.50173557+0.029563583+0.3423177,0.8132635,265
0.3838661+0.22766608+-0.3244484,0.35697415+0.056536928+-0.728673,-0.5017194+0.029552262+0.34231335,0.8133826,266
0.38387647+0.22764316+-0.32443714,0.3570832+0.05653133+-0.7287566,-0.50170404+0.02954048+0.3423102,0.813505,267
0.3838899+0.2276232+-0.32442075,0.35719046+0.05652373+-0.7288334,-0.5016951+0.029528504+0.34230918,0.8136203,268
0.38387212+0.22762755+-0.3244044,0.35719046+0.05652373+-0.7288334,-0.5016935+0.029516846+0.34231025,0.8136203,269
0.38388413+0.22762156+-0.32439604,0.357294+0.056504313+-0.7289026,-0.5017053+0.029512715+0.34228063,0.8137264,270
0.38385636+0.22763577+-0.32436952,0.3573919+0.056470376+-0.72896695,-0.5017148+0.029506262+0.34226924,0.8138247,271
0.38383985+0.22764501+-0.3243615,0.357482+0.056428567+-0.7290302,-0.5017245+0.029497303+0.34226316,0.81391805,272
0.3838298+0.22765064+-0.32436097,0.3575633+0.05638703+-0.72909486,-0.5017306+0.029488945+0.34226042,0.81400883,273
0.38382068+0.2276583+-0.32435277,0.3576381+0.056349277+-0.7291615,-0.5017317+0.029481282+0.34226143,0.8140988,274
0.38381252+0.22767383+-0.32434696,0.35743985+0.056300074+-0.7289556,-0.5017291+0.029472653+0.34226865,0.8138239,275
0.38381696+0.22767791+-0.32434043,0.3568799+0.05610938+-0.72836804,-0.5017296+0.029464586+0.3422765,0.81303847,276
0.38383582+0.22766736+-0.32434747,0.35608733+0.055862725+-0.72754097,-0.5017345+0.029456591+0.34228215,0.8119327,277
0.3838414+0.22767141+-0.32434443,0.35540065+0.055640105+-0.7268221,-0.5017441+0.029450158+0.34228644,0.8109721,278
0.38384953+0.2276716+-0.32435468,0.35493085+0.055465505+-0.7263258,-0.5017568+0.029444518+0.3422893,0.8103095,279
0.3838443+0.22768334+-0.32436028,0.35466442+0.055335913+-0.72603995,-0.5017763+0.029439548+0.34228915,0.8099277,280
0.3838465+0.2276986+-0.32435873,0.35466442+0.055335913+-0.72603995,-0.501796+0.029432127+0.34228805,0.8099277,281
0.38385049+0.22771429+-0.3243534,0.35454175+0.05524261+-0.7259016,-0.50180304+0.029497402+0.3422608,0.80974364,282
0.3837892+0.22771695+-0.32439464,0.3544994+0.055175986+-0.72584516,-0.5018094+0.029518409+0.34225735,0.8096699,283
0.38377255+0.22772786+-0.32439917,0.35429898+0.056043934+-0.72662073,-0.50181216+0.029525481+0.34226066,0.8103372,284
0.383771+0.227729+-0.32440773,0.3540988+0.056992494+-0.7274397,-0.5018114+0.029527806+0.34226614,0.81105036,285
0.38376915+0.22772771+-0.32441545,0.35391384+0.05780675+-0.7281421,-0.50181305+0.029525911+0.3422741,0.8116573,286
0.38374546+0.22772717+-0.324403,0.35391384+0.05780675+-0.7281421,-0.5018204+0.02952274+0.34228098,0.8116573,287
0.3837465+0.22772929+-0.32438698,0.35376424+0.058363542+-0.72862506,-0.5017976+0.029549265+0.3422588,0.8120652,288
0.3836946+0.22771311+-0.3243808,0.35364705+0.058685035+-0.72890586,-0.5017981+0.029554566+0.34225124,0.8122893,289
0.38367268+0.22771384+-0.32437697,0.35355085+0.058846317+-0.72904664,-0.5018054+0.02955346+0.34224623,0.81238544,290
0.38367462+0.22771825+-0.3243594,0.3534619+0.05892424+-0.72911245,-0.5018125+0.029551715+0.34224457,0.8124114,291
0.38367033+0.2277224+-0.3243531,0.3533706+0.058976125+-0.72915083,-0.501819+0.02955186+0.3422451,0.81240994,292
0.38367033+0.2277224+-0.3243531,0.3535168+0.05883834+-0.7292177,-0.5018221+0.02955428+0.34224728,0.81252354,293
0.38367033+0.2277224+-0.3243531,0.35388705+0.05845491+-0.7294684,-0.5017884+0.029549062+0.34224695,0.812882,294
0.38368863+0.22764504+-0.32431567,0.35442936+0.057917804+-0.7298072,-0.5017822+0.029550552+0.3422491,0.8133838,295
0.3837102+0.22762555+-0.32431012,0.35489917+0.057453364+-0.7301232,-0.5017878+0.029554151+0.34225106,0.8138392,296
0.3837188+0.22761562+-0.32432365,0.35521638+0.057133146+-0.7303763,-0.50180143+0.029556904+0.3422519,0.81418204,297
0.38371998+0.22762203+-0.32432568,0.35539198+0.05694647+-0.73056555,-0.5018187+0.02956113+0.34225324,0.8144154,298
0.38363698+0.22770278+-0.32438776,0.35539198+0.05694647+-0.73056555,-0.501837+0.029566554+0.34225786,0.8144154,299
0.38360277+0.22774601+-0.32442042,0.35546765+0.05685489+-0.7307083,-0.5018209+0.029569173+0.34225717,0.81457007,300
0.38358995+0.22773321+-0.32442877,0.3554841+0.056824487+-0.73082525,-0.50182086+0.029573575+0.3422644,0.81468004,301
0.38357562+0.22774088+-0.3244299,0.35713938+0.057510924+-0.731103,-0.5018253+0.029581182+0.34227496,0.8157007,302
0.38356876+0.22775134+-0.32443002,0.35887188+0.058213994+-0.73126996,-0.50182915+0.029591171+0.34228706,0.81666005,303
0.38357198+0.22775203+-0.32443678,0.36041093+0.058823984+-0.7314249,-0.50183296+0.029601961+0.3422972,0.81751984,304
0.3835974+0.22777686+-0.3245485,0.36041093+0.058823984+-0.7314249,-0.5018406+0.029612754+0.3423044,0.81751984,305
0.3835974+0.22777686+-0.3245485,0.36154637+0.059254818+-0.73156387,-0.5018437+0.02960494+0.34229872,0.8181764,306
0.38361493+0.22778837+-0.32463166,0.36230075+0.059522793+-0.7316888,-0.50185454+0.029603556+0.34229493,0.8186411,307
0.38362515+0.22778541+-0.32463783,0.36278903+0.059681576+-0.7318029,-0.50186664+0.029604118+0.34229517,0.8189708,308
0.3836434+0.22778374+-0.32463497,0.36313114+0.059783287+-0.73190975,-0.50187963+0.029607218+0.3422994,0.8192253,309
0.38364986+0.22778353+-0.32465297,0.3634141+0.05986462+-0.73201394,-0.501887+0.029611008+0.34230682,0.81944984,310
0.3836672+0.22779316+-0.3246857,0.36318108+0.059699297+-0.7320954,-0.5018906+0.029616024+0.34231406,0.8194072,311
0.38366327+0.22780894+-0.32469326,0.3627117+0.05925021+-0.7324604,-0.5018554+0.029609919+0.34231824,0.8194929,312
0.3836686+0.22777441+-0.3246891,0.36197868+0.058604617+-0.73292524,-0.5018413+0.029613545+0.34232104,0.81953794,313
0.38367105+0.22775501+-0.32469255,0.36137998+0.058039416+-0.7333531,-0.50183654+0.029618507+0.34231973,0.8196162,314
0.3836677+0.22774822+-0.32468632,0.36104095+0.057648648+-0.7336985,-0.50183535+0.029624581+0.34231597,0.8197484,315
0.38367063+0.2277385+-0.32468045,0.3609416+0.057429943+-0.73396564,-0.5018348+0.029633362+0.34231347,0.8199284,316
0.3836693+0.22774796+-0.32468173,0.3609416+0.057429943+-0.73396564,-0.50183326+0.029642563+0.34231007,0.8199284,317
0.3836741+0.22775307+-0.32466578,0.36100757+0.05733819+-0.73417765,-0.5017897+0.02964384+0.34229723,0.8201408,318
0.38367286+0.22771037+-0.32464004,0.361163+0.057315312+-0.7343597,-0.5017724+0.029649781+0.34229156,0.8203706,319
0.38364616+0.22770289+-0.32463235,0.36135262+0.057315588+-0.7345303,-0.5017611+0.029658005+0.34228843,0.8206069,320
0.3836341+0.22768712+-0.32464123,0.36154673+0.057314176+-0.73469937,-0.5017536+0.029665198+0.34228355,0.8208435,321
0.38363773+0.22766691+-0.32464504,0.36173305+0.05729842+-0.7348706,-0.501746+0.029671116+0.34227586,0.82107776,322
0.38362914+0.22764799+-0.3246533,0.36173305+0.05729842+-0.7348706,-0.5017419+0.02967697+0.34226513,0.82107776,323
0.3836143+0.22764+-0.32464632,0.36190817+0.057267755+-0.7350454,-0.5017388+0.029670903+0.34226298,0.8213092,324
0.38361588+0.22763285+-0.32463488,0.36207205+0.057233077+-0.7352235,-0.50173646+0.02967112+0.34225696,0.8215384,325
0.38361552+0.22762623+-0.32462308,0.362227+0.05720316+-0.73540395,-0.50173336+0.029669778+0.34225008,0.8217662,326
0.38360727+0.22762042+-0.32461354,0.362378+0.057178427+-0.7355854,-0.50172836+0.02966957+0.34224296,0.82199335,327
0.38360015+0.2276071+-0.32461005,0.3625287+0.05715575+-0.73576653,-0.50172085+0.029669788+0.3422361,0.82222027,328
0.38359746+0.22758898+-0.32459164,0.36127114+0.05702286+-0.73478615,-0.5017121+0.029669126+0.34222838,0.8207796,329
0.38358837+0.22758108+-0.3245664,0.3574135+0.056576166+-0.7318473,-0.50169575+0.029650815+0.34225118,0.8164225,330
0.38360336+0.22756773+-0.32455948,0.3520767+0.055971134+-0.7277699,-0.50168484+0.029644903+0.34225333,0.8103948,331
0.38359272+0.22755823+-0.32455423,0.34738925+0.055430595+-0.7242145,-0.50167865+0.029645434+0.34224668,0.80513257,332
0.38358575+0.22754851+-0.3245445,0.34405854+0.055029046+-0.72172385,-0.50167334+0.029647527+0.34223896,0.8014298,333
0.3835676+0.22753847+-0.32455015,0.34201294+0.0547598+-0.7202335,-0.5016681+0.029649911+0.34223148,0.79919195,334
0.38351575+0.22756742+-0.32457113,0.34201294+0.0547598+-0.7202335,-0.50166416+0.02965366+0.34222114,0.79919195,335
0.38348088+0.22758329+-0.32458276,0.34087324+0.054583296+-0.71944845,-0.5016468+0.02965703+0.342226,0.79798496,336
0.38348088+0.22758329+-0.32458276,0.340235+0.054460358+-0.71905816,-0.50163555+0.02966047+0.3422193,0.79735214,337
0.3834346+0.22757214+-0.32460323,0.34056157+0.054530855+-0.7206912,-0.50162405+0.0296654+0.34220815,0.7989691,338
0.3834201+0.22755823+-0.32460302,0.34134167+0.054707967+-0.72260207,-0.50161463+0.02967059+0.34219274,0.8010374,339
0.3833988+0.22754866+-0.32459757,0.34190622+0.054846313+-0.7242013,-0.50160575+0.029674431+0.3421728,0.80273,340
0.38340095+0.22753188+-0.3245718,0.34190622+0.054846313+-0.7242013,-0.5015986+0.029680047+0.34214962,0.80273,341
0.38337764+0.22751942+-0.32456344,0.3420911+0.05491086+-0.7252163,-0.5015773+0.02966291+0.34214544,0.80372894,342
0.3833875+0.2274931+-0.324543,0.34193334+0.054908462+-0.72569114,-0.5015696+0.029658575+0.3421352,0.80409014,343
0.3833757+0.2274788+-0.32454443,0.34154105+0.054859776+-0.72578955,-0.50156283+0.029658627+0.34212548,0.8040089,344
0.3833555+0.22747722+-0.32453007,0.3410219+0.05478452+-0.72568077,-0.50155544+0.029660325+0.3421182,0.8036852,345
0.3833406+0.22746244+-0.32454002,0.3404534+0.054699235+-0.72549117,-0.50154835+0.029664727+0.34211144,0.80326706,346
0.38337043+0.22745484+-0.32452607,0.34120435+0.05475528+-0.7257987,-0.50154305+0.029668484+0.342102,0.80386716,347
0.38338518+0.22744438+-0.32451957,0.3430299+0.05485012+-0.72658145,-0.5015949+0.029597843+0.3422902,0.8053562,348
0.38356793+0.22749841+-0.32459,0.34577152+0.05501459+-0.7277467,-0.50160885+0.029573021+0.34235334,0.80758893,349
0.3836314+0.22751671+-0.32460195,0.34817052+0.055151924+-0.7287796,-0.5016103+0.029564468+0.34237522,0.809558,350
0.38365757+0.22751579+-0.32460853,0.34980085+0.05523027+-0.7295025,-0.5016093+0.029561667+0.3423831,0.81091607,351
0.3836782+0.22750472+-0.32462114,0.35069618+0.055252813+-0.7299247,-0.5016091+0.029561076+0.34238863,0.81168383,352
0.38369736+0.22751427+-0.32462224,0.35069618+0.055252813+-0.7299247,-0.5016096+0.029563554+0.342395,0.81168383,353
0.38370675+0.2275235+-0.32462078,0.35107413+0.05523635+-0.73012835,-0.5016004+0.029536905+0.34233972,0.8120293,354
0.38370675+0.2275235+-0.32462078,0.35116467+0.05519907+-0.7302065,-0.5015957+0.02953066+0.34232694,0.8121361,355
0.38364658+0.22752191+-0.32457784,0.352146+0.055249367+-0.73053896,-0.5015912+0.029531434+0.34232885,0.8128631,356
0.38365397+0.22751823+-0.32457757,0.353214+0.055355012+-0.73086506,-0.5015876+0.029535549+0.34233388,0.8136265,357
0.3836601+0.22750762+-0.32459557,0.3541859+0.05544889+-0.731173,-0.5015841+0.029539078+0.34233695,0.8143317,358
0.38367313+0.22749501+-0.32459056,0.3541859+0.05544889+-0.731173,-0.5015808+0.029541757+0.34233963,0.8143317,359
0.38366985+0.22748497+-0.32459754,0.3549275+0.055511713+-0.73142606,-0.5015801+0.029545203+0.34234136,0.81488603,360
0.38367164+0.22747985+-0.32459357,0.35544875+0.055544052+-0.731623,-0.50158024+0.029550638+0.34234363,0.81529206,361
0.3836675+0.22747388+-0.3246047,0.35581395+0.05555481+-0.7317775,-0.5015801+0.02955782+0.34234518,0.81559074,362
0.3836539+0.22747728+-0.324603,0.3560909+0.055555116+-0.7319073,-0.5015788+0.029566241+0.34234697,0.815828,363
0.3836446+0.22746551+-0.32462603,0.35632908+0.0555511+-0.73202735,-0.5015766+0.02957519+0.34234914,0.8160395,364
0.38364163+0.22745046+-0.3246494,0.3563948+0.05578474+-0.7323672,-0.5015714+0.029585438+0.34235296,0.81638896,365
0.3836205+0.22744393+-0.32467154,0.35683134+0.05652285+-0.73357284,-0.5015873+0.02956939+0.3423491,0.8177118,366
0.38361403+0.22745264+-0.32466134,0.3573497+0.057538014+-0.7351869,-0.5015902+0.02956844+0.34234923,0.81945664,367
0.38362926+0.22744079+-0.3246573,0.35784876+0.058441598+-0.73663396,-0.50159323+0.02957271+0.3423518,0.82103634,368
0.38363314+0.22743124+-0.32466915,0.35829496+0.05910538+-0.7377198,-0.50159556+0.029579274+0.34235698,0.8222526,369
0.38363418+0.22742271+-0.32468888,0.35869017+0.05954011+-0.73846143,-0.5015958+0.02958827+0.34236535,0.8231215,370
0.38365078+0.22743121+-0.32466766,0.35869017+0.05954011+-0.73846143,-0.50159585+0.02959798+0.34237638,0.8231215,371
0.3836624+0.2274319+-0.32466736,0.35904956+0.059810307+-0.73895836,-0.5015941+0.0296093+0.34238994,0.82374346,372
0.38366634+0.22742382+-0.32469046,0.35938865+0.059988078+-0.73931766,-0.5015926+0.02962197+0.34240234,0.82422656,373
0.38367593+0.22741769+-0.32469982,0.35971707+0.06012993+-0.7396219,-0.5015896+0.029635176+0.34241253,0.82465297,374
0.38367784+0.22740927+-0.3247153,0.3600375+0.060268965+-0.7399218,-0.50158715+0.029650543+0.34242398,0.82507193,375
0.38367456+0.22739756+-0.32474124,0.3603506+0.060419466+-0.740241,-0.50158614+0.029665207+0.34243223,0.8255058,376
0.38374877+0.22739208+-0.3246849,0.3603506+0.060419466+-0.740241,-0.5015849+0.02968076+0.3424399,0.8255058,377
0.3837627+0.22739282+-0.32467434,0.36066088+0.0605855+-0.74058264,-0.5015884+0.029727498+0.34248027,0.82595974,378
0.38377425+0.22739029+-0.32473347,0.36097342+0.06076497+-0.74094075,-0.50159127+0.029749999+0.34250003,0.8264305,379
0.38377842+0.22738896+-0.32475904,0.36129144+0.060949076+-0.7413081,-0.5015988+0.029766127+0.3425129,0.8269123,380
0.38378343+0.22739026+-0.32477474,0.36161798+0.061128847+-0.7416777,-0.501607+0.029781964+0.34252173,0.8273996,381
0.38378796+0.22738378+-0.3248025,0.36195397+0.061304413+-0.74204516,-0.5016149+0.029796723+0.3425303,0.82788885,382
0.38382155+0.22739005+-0.32478577,0.36138633+0.061223365+-0.7412246,-0.5016209+0.029810362+0.3425368,0.8268992,383
0.38382155+0.22739005+-0.32478577,0.35991913+0.061140914+-0.73897624,-0.5016206+0.029763581+0.34249294,0.8242365,384
0.3838115+0.22739898+-0.32470953,0.35778692+0.060963243+-0.7357701,-0.50162137+0.0297494+0.3424759,0.820418,385
0.38380194+0.22739652+-0.32468733,0.3559476+0.060826126+-0.73299754,-0.5016216+0.029746473+0.34246725,0.81711924,386
0.3837819+0.22740611+-0.32466567,0.35471702+0.060777977+-0.73111564,-0.5016219+0.029748904+0.3424605,0.8148915,387
0.38377467+0.22740111+-0.3246606,0.35406196+0.060815316+-0.7300727,-0.50162446+0.029752497+0.34245306,0.81367344,388
0.3837794+0.22738203+-0.32460254,0.35406196+0.060815316+-0.7300727,-0.50162923+0.029757965+0.34244847,0.81367344,389
0.38377726+0.22738254+-0.32457095,0.35381487+0.06090942+-0.7296204,-0.5016265+0.029645156+0.34236622,0.81316715,390
0.38376617+0.22738114+-0.32442024,0.35379624+0.061030548+-0.72949725,-0.50162685+0.029603556+0.34233922,0.8130577,391
0.38375753+0.22737992+-0.32437408,0.3516052+0.060081344+-0.72809446,-0.50162864+0.029583577+0.342328,0.8107759,392
0.38376164+0.2273722+-0.32435927,0.34922996+0.058944926+-0.72661114,-0.5016302+0.02957036+0.34232128,0.8083315,393
0.38376588+0.22736442+-0.32434666,0.34710592+0.057946265+-0.7252771,-0.5016318+0.029560788+0.342313,0.8061434,394
0.38387376+0.22735128+-0.3242399,0.34710592+0.057946265+-0.7252771,-0.501634+0.029553065+0.34230295,0.8061434,395
0.38391328+0.22734082+-0.32420126,0.3455391+0.057248782+-0.7242747,-0.5016423+0.029578043+0.34230027,0.80451757,396
0.38389713+0.22734773+-0.3242145,0.34451142+0.056837868+-0.7235867,-0.5016435+0.029582558+0.3422944,0.8034279,397
0.38390353+0.22734034+-0.32420927,0.3438729+0.056628272+-0.72312003,-0.50164384+0.029579498+0.3422898,0.80271906,398
0.3839047+0.22734329+-0.3241844,0.34345558+0.056533653+-0.72277683,-0.5016428+0.029574638+0.34228623,0.80222446,399
0.3839047+0.22734329+-0.3241844,0.34312466+0.056491874+-0.72248566,-0.5016397+0.02956821+0.34227884,0.8018176,400
0.38395494+0.22734644+-0.32409295,0.34340513+0.05627311+-0.7229037,-0.50163627+0.029559238+0.34226975,0.8022989,401
0.38396043+0.22734216+-0.32406586,0.34397295+0.055544373+-0.7239559,-0.50163245+0.029549634+0.342258,0.8034394,402
0.38396505+0.22733186+-0.32404238,0.34484178+0.05454057+-0.72549284,-0.50162727+0.02954308+0.34224516,0.80512756,403
0.3839649+0.2273196+-0.32402247,0.34553728+0.05362086+-0.72680056,-0.50161994+0.029538177+0.3422311,0.80654216,404
0.38395327+0.22729728+-0.32402393,0.34591463+0.052910432+-0.72764426,-0.50161123+0.029531693+0.34221545,0.8074172,405
0.38394818+0.22728443+-0.32399383,0.34599984+0.052404277+-0.72805226,-0.5016034+0.029525334+0.34219903,0.8077885,406
0.38397595+0.22727676+-0.3239047,0.34599984+0.052404277+-0.72805226,-0.50159734+0.029520165+0.34218252,0.8077885,407
0.38397533+0.22726777+-0.323876,0.34588206+0.052045632+-0.7281541,-0.50159174+0.029515812+0.34216657,0.8078066,408
0.38397104+0.22726059+-0.3238536,0.3456536+0.051772717+-0.7280852,-0.501587+0.02951214+0.34214836,0.80762917,409
0.3839698+0.22724883+-0.3238409,0.34590033+0.05221881+-0.729667,-0.5015829+0.029509475+0.34212902,0.80918956,410
0.3839662+0.22723623+-0.32383603,0.34646764+0.052942574+-0.7314756,-0.5015792+0.029508006+0.34210998,0.8111099,411
0.38395786+0.2272371+-0.32381326,0.34695315+0.05355613+-0.7330809,-0.5015771+0.02950719+0.3420878,0.81280524,412
0.38390976+0.22727388+-0.3238484,0.34695315+0.05355613+-0.7330809,-0.50157535+0.02950525+0.3420639,0.81280524,413
0.3838787+0.22728595+-0.32386386,0.34724116+0.05393441+-0.7342409,-0.50157595+0.029500425+0.34203738,0.8139994,414
0.38387623+0.22729123+-0.32385296,0.34733602+0.054088425+-0.7349765,-0.5015764+0.029492084+0.3420112,0.8147136,415
0.38387305+0.2272954+-0.32384273,0.34728986+0.054083157+-0.73541147,-0.5015773+0.029482365+0.34198523,0.81508607,416
0.3838907+0.2272886+-0.32383338,0.34716007+0.053987376+-0.73567945,-0.5015795+0.029472185+0.34195873,0.81526625,417
0.3838908+0.2272965+-0.32381508,0.34699243+0.0538508+-0.735881,-0.5015812+0.029459003+0.34192944,0.81536764,418
0.3838908+0.2272965+-0.32381508,0.34724513+0.053918246+-0.7353105,-0.50158405+0.029442985+0.34189653,0.81496495,419
0.38391873+0.22722249+-0.3237991,0.34788004+0.053988274+-0.73368216,-0.50161386+0.029491875+0.3419534,0.81377196,420
0.38393804+0.22725578+-0.323877,0.34883535+0.054150205+-0.73138845,-0.50162715+0.029507272+0.34196383,0.81212527,421
0.3839565+0.22727269+-0.32388413,0.349698+0.054297116+-0.72939277,-0.50163174+0.029510364+0.34195864,0.81071,422
0.38396016+0.22727679+-0.3238949,0.35032478+0.054386657+-0.7280116,-0.5016331+0.029509837+0.34194726,0.80974454,423
0.38397378+0.22727516+-0.32389277,0.35071784+0.054415785+-0.7272107,-0.50163543+0.029509258+0.3419335,0.8091968,424
0.3840483+0.22719854+-0.32388553,0.35071784+0.054415785+-0.7272107,-0.50163454+0.02950831+0.3419182,0.8091968,425
0.38406828+0.22716814+-0.32389054,0.35093915+0.05440172+-0.72682047,-0.5015911+0.029510586+0.34210798,0.8089412,426
0.3842236+0.22712688+-0.32400787,0.35106206+0.054365873+-0.7266591,-0.5015688+0.029512497+0.34217677,0.8088471,427
0.38427898+0.22710942+-0.32405043,0.3511455+0.05432439+-0.7265886,-0.5015542+0.02951388+0.34220356,0.8088172,428
0.38430443+0.22709432+-0.32407704,0.35122555+0.054287575+-0.72652686,-0.50154287+0.029512495+0.34221774,0.808794,429
