peerPosAR,peerPosNI,MyPos,Time
0.38342547+0.22817701+-0.32407153,0.34792706+0.054805502+-0.7415102,-0.5025365+0.029727641+0.3419329,0.82091063,49
0.3834995+0.22827013+-0.32407868,0.34781396+0.054540083+-0.7422754,-0.5026001+0.02970179+0.34191668,0.8215363,50
0.383479+0.22833684+-0.32404903,0.34754145+0.054187216+-0.7431237,-0.502633+0.029678682+0.34181404,0.82216436,51
0.38340977+0.22836256+-0.3239628,0.34754145+0.054187216+-0.7431237,-0.5026214+0.029656421+0.34166634,0.82216436,52
0.38331446+0.22833619+-0.3238542,0.34710148+0.05382257+-0.7440394,-0.502562+0.029634994+0.34153867,0.82278246,53
0.3832388+0.2282606+-0.32376197,0.3465916+0.053526547+-0.7449685,-0.502494+0.029609576+0.34148747,0.82338864,54
0.3832304+0.22818187+-0.32369798,0.34614396+0.053325675+-0.7458613,-0.5023381+0.029667936+0.34159184,0.82399535,55
0.3833006+0.22801214+-0.3237984,0.34582785+0.053174533+-0.74670607,-0.5022921+0.02966388+0.3417377,0.82461774,56
0.3834349+0.22795522+-0.32387206,0.3456304+0.05300446+-0.74751955,-0.50230587+0.029645666+0.34187722,0.82526076,57
0.38356817+0.22796386+-0.32392377,0.34546778+0.052775055+-0.7483357,-0.50235856+0.029624078+0.34196258,0.82591736,58
0.38365826+0.22800563+-0.3239552,0.34570035+0.052757137+-0.74892867,-0.50242174+0.02960227+0.3419668,0.8265508,59
0.38370943+0.22806412+-0.3239454,0.34682134+0.053300273+-0.74900377,-0.5024204+0.029749611+0.34179813,0.8271231,60
0.38349688+0.22805882+-0.3239633,0.34835866+0.0541788+-0.7488176,-0.50238013+0.029809712+0.34164515,0.82765746,61
0.38335824+0.22800928+-0.32391453,0.34957954+0.05499597+-0.7487838,-0.50230527+0.029834183+0.34153542,0.8281954,62
0.38326895+0.22792518+-0.323873,0.35031196+0.05563867+-0.7490095,-0.50221723+0.02984147+0.3415066,0.8287517,63
0.38326442+0.2278265+-0.32386056,0.35066617+0.056104194+-0.749446,-0.5021355+0.029841216+0.3415559,0.8293273,64
0.3832602+0.22775464+-0.32391384,0.35066617+0.056104194+-0.749446,-0.5020904+0.029836643+0.341654,0.8293273,65
0.38331717+0.22771144+-0.32398912,0.35082+0.05641019+-0.7500044,-0.5020985+0.029826654+0.34176007,0.8299177,66
0.38340372+0.22772029+-0.32404748,0.35088137+0.056572568+-0.7506269,-0.5021336+0.029835878+0.34187612,0.8305173,67
0.3834889+0.22775733+-0.32412162,0.35084546+0.05661011+-0.75074995,-0.50218356+0.02983201+0.34188634,0.8306159,68
0.38349056+0.22781217+-0.32412633,0.35067034+0.056567803+-0.7497237,-0.50220835+0.029828353+0.3418224,0.8296114,69
0.38349056+0.22781217+-0.32412633,0.35038117+0.05652398+-0.7480961,-0.5021913+0.02982216+0.3417343,0.8280155,70
0.38337463+0.22781876+-0.32403898,0.35038117+0.05652398+-0.7480961,-0.5021224+0.029812898+0.34166962,0.8280155,71
0.38329494+0.22777888+-0.3241788,0.35006002+0.05654629+-0.7467706,-0.5020863+0.0298159+0.34175074,0.82668364,72
0.38335353+0.22774233+-0.32431042,0.3497981+0.05664291+-0.74601984,-0.5020091+0.029810956+0.3418307,0.8259012,73
0.3834182+0.22766975+-0.32438037,0.34965533+0.0567664+-0.7457898,-0.50195783+0.029799+0.34193307,0.8256414,74
0.3835181+0.22761407+-0.3244536,0.34963295+0.05685305+-0.7459175,-0.501952+0.029785482+0.34202468,0.8257532,75
0.38360193+0.22761598+-0.32450128,0.34968296+0.05685799+-0.746249,-0.50198334+0.02977396+0.34207213,0.82607424,76
0.38361296+0.22769052+-0.3244989,0.3503119+0.056948982+-0.74583983,-0.50203526+0.02976509+0.3420652,0.82597744,77
0.38357767+0.22777349+-0.324478,0.3521494+0.057365976+-0.74363285,-0.5021212+0.029718231+0.34186327,0.8247969,78
0.38342726+0.22786203+-0.32433814,0.3545887+0.057992768+-0.74044883,-0.5021411+0.029704196+0.34174013,0.8230193,79
0.38332647+0.22789171+-0.32425234,0.35667548+0.058592405+-0.7376873,-0.5020998+0.029699137+0.3416689,0.8214822,80
0.38327676+0.2278499+-0.32421324,0.35814065+0.05908525+-0.73579746,-0.50202316+0.029690888+0.3416584,0.8204595,81
0.38329068+0.22776492+-0.3242116,0.35907236+0.059451126+-0.73471665,-0.50194615+0.029676715+0.341698,0.81992435,82
0.38331547+0.22769947+-0.32423168,0.35907236+0.059451126+-0.73471665,-0.5018928+0.029662706+0.34176385,0.81992435,83
0.38335758+0.22766218+-0.3242621,0.3596803+0.059684195+-0.7341889,-0.5019402+0.029628523+0.34190953,0.81973505,84
0.38347912+0.22772071+-0.32433027,0.36014318+0.059783287+-0.73396003,-0.5020119+0.029604424+0.3419671,0.81974053,85
0.38355333+0.22778872+-0.32434955,0.3596702+0.059571706+-0.733283,-0.50210005+0.029585555+0.3419631,0.8189111,86
0.38357255+0.2278645+-0.32435936,0.35377526+0.05793318+-0.7288707,-0.50217+0.029572874+0.34191543,0.8122596,87
0.38354272+0.22792877+-0.32434154,0.35070166+0.057139847+-0.72663784,-0.5021977+0.029562237+0.3418591,0.8088629,88
