TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
129501.516971583,1.000902,0.07145535,0.9115254,-0.029291835,-0.040512275,0.7025206,-0.7117784,9.3132246e-10,0.0,0.0,1016.304612159729,5940.20751953125,4
129501.550315333,1.000902,0.071356766,0.9115221,-0.0293022,-0.040512275,0.7025206,-0.7117784,-9.313226e-10,-2.3283064e-10,0.0,1016.3071155548096,5940.20751953125,4
129501.583659,1.000902,0.07124077,0.9115782,-0.030508123,-0.040512275,0.7025206,-0.7117784,0.0,2.3283064e-10,-2.3283064e-10,1016.3087844848633,5940.20751953125,4
129501.61700275,1.000902,0.0717251,0.9117129,-0.031847663,-0.040512275,0.7025206,-0.7117784,0.0,2.3283064e-10,2.3283064e-10,1016.3098573684692,5940.20751953125,4
129501.650346458,1.000902,0.070975386,0.91155565,-0.030661818,-0.040512275,0.7025206,-0.7117784,0.0,0.0,0.0,1016.3105726242065,5940.20751953125,4
129501.683690125,1.000902,0.070975386,0.91155565,-0.030661818,-0.040512275,0.7025206,-0.7117784,0.0,-2.3283064e-10,0.0,1016.3109302520752,5940.20751953125,4
129501.71703375,1.000902,0.07075244,0.9115773,-0.03119393,-0.040512275,0.7025206,-0.7117784,9.313226e-10,2.3283064e-10,0.0,1016.3111686706543,5940.20751953125,4
129501.750377541,1.000902,0.070168376,0.9114695,-0.031247655,-0.040512275,0.7025206,-0.7117784,9.313226e-10,0.0,0.0,1016.3114070892334,5940.20751953125,4
129501.783721208,1.000902,0.070396446,0.9115682,-0.03167282,-0.040512275,0.7025206,-0.7117784,3.1349834e-10,-2.0133048e-11,2.7643693e-10,1016.311526298523,5940.20751953125,4
129501.817064958,1.000902,0.071046755,0.9117372,-0.03265906,-0.040512275,0.7025206,-0.7117784,-3.085122e-10,1.1292418e-10,-2.0402093e-10,1016.3116455078125,5940.20751953125,4
129501.850408708,1.000902,0.07070042,0.91169405,-0.032600515,-0.040512275,0.7025206,-0.7117784,-9.313226e-10,2.3283064e-10,-2.3283064e-10,1016.3116455078125,5940.20751953125,4
129501.883752333,1.000902,0.07050029,0.9116649,-0.032799255,-0.040512275,0.7025206,-0.7117784,-2.1773823e-09,-1.242947e-10,4.6900834e-11,1016.3116455078125,5940.20751953125,4
129501.917096,1.000902,0.07096942,0.91177535,-0.033760272,-0.040512275,0.7025206,-0.7117784,6.1168426e-10,-4.063375e-12,2.9561537e-11,1016.3116455078125,5940.20751953125,4
129501.95043975,1.000902,0.070808865,0.91174096,-0.033884313,-0.040512275,0.7025206,-0.7117784,0.0,0.0,0.0,1016.3116455078125,5940.20751953125,4
129501.983783375,1.000902,0.07065009,0.91172546,-0.034278058,-0.040512275,0.7025206,-0.7117784,-3.1591182e-10,1.09112226e-10,6.5797874e-11,1018.308162689209,5940.20751953125,4
129502.017127041,1.000902,0.070991345,0.91180164,-0.035145603,-0.040512275,0.7025206,-0.7117784,-6.427527e-10,-7.520832e-12,9.841232e-11,1015.6302452087402,5940.20751953125,4
129502.05047075,1.000902,0.07084391,0.9117714,-0.035370298,-0.040512275,0.7025206,-0.7117784,0.0,-1.1641532e-10,0.0,1015.8755779266357,5940.20751953125,4
129502.083814458,1.000902,0.070674606,0.9117915,-0.035990894,-0.040512275,0.7025206,-0.7117784,9.313226e-10,0.0,0.0,1014.073371887207,5940.20751953125,4
129502.117158083,1.000902,0.070835255,0.9118374,-0.036837917,-0.040512275,0.7025206,-0.7117784,0.0,1.1641532e-10,-2.3283064e-10,1012.9200220108032,5940.20751953125,4
129502.150501875,1.000902,0.07103249,0.91158533,-0.030425014,-0.040512275,0.7025206,-0.7117784,-3.342182e-10,1.3002607e-10,1.4502782e-10,1012.1818780899048,5940.20751953125,4
129502.183845666,1.000902,0.07103249,0.91158533,-0.030425014,-0.040512275,0.7025206,-0.7117784,6.370231e-10,-1.0820366e-11,-1.8009172e-10,1011.709451675415,5940.20751953125,4
129502.21718925,1.000902,0.07156546,0.9115652,-0.026135229,-0.040512275,0.7025206,-0.7117784,9.313226e-10,1.1641532e-10,0.0,1011.4070177078247,5940.20751953125,4
129502.250532916,1.000902,0.07081478,0.9113715,-0.025328437,-0.040512275,0.7025206,-0.7117784,-2.8869598e-10,-7.010455e-12,-1.7833222e-10,1009.25612449646,5940.20751953125,4
129502.283876708,1.000902,0.07058461,0.9113643,-0.02507461,-0.040512275,0.7025206,-0.7117784,-1.2206431e-09,-1.2995931e-10,-1.882893e-10,1007.8796148300171,5940.20751953125,4
129502.31722,1.000902,0.070882,0.9114109,-0.02548276,-0.040512275,0.7025206,-0.7117784,0.0,0.0,-2.3283062e-10,1006.9986581802368,5940.20751953125,4
129502.350564,1.000902,0.07047777,0.9112511,-0.024526129,-0.040512275,0.7025206,-0.7117784,-9.3132246e-10,1.1641531e-10,-2.3283062e-10,1006.4347982406616,5940.20751953125,4
129502.383907666,1.000902,0.07052974,0.91115654,-0.024007734,-0.040512275,0.7025206,-0.7117784,-2.962467e-10,-9.599828e-12,2.8360647e-10,1006.0739517211914,5940.20751953125,4
129502.417251416,1.000902,0.07092134,0.9111954,-0.024334924,-0.040512275,0.7025206,-0.7117784,-1.22979e-09,-1.2124028e-10,5.044344e-11,1005.8430433273315,5940.20751953125,4
129502.450595166,1.000902,0.07072583,0.91106653,-0.023574766,-0.040512275,0.7025206,-0.7117784,0.0,0.0,0.0,1005.6952238082886,5940.20751953125,4
